Sentence_ID,sentence,Tokens,POS_Tags,Dialect
n01004009,"على سبيل المثال , بدلاً من تدريس المنهج العلمي ك وحدة منفصلة , يتعلم الطلاب المحتوى العلمي من خلال التطبيق .","['على', 'سبيل', 'المثال', ',', 'بدلاً', 'من', 'تدريس', 'المنهج', 'العلمي', 'ك', 'وحدة', 'منفصلة', ',', 'يتعلم', 'الطلاب', 'المحتوى', 'العلمي', 'من', 'خلال', 'التطبيق', '.']","['ADP', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'VERB', 'NOUN', 'NOUN', 'ADJ', 'ADP', 'ADP', 'NOUN', 'PUNCT']",Modern Standard Arabic
n01004017,"حصلوا على المعدل الوطني العام ب النسبة إلى الصف الرابع , و أفضل من المعدل الوطني العام ب النسبة إلى الصف الثامن .","['حصلوا', 'على', 'المعدل', 'الوطني', 'العام', 'ب', 'النسبة', 'إلى', 'الصف', 'الرابع', ',', 'و', 'أفضل', 'من', 'المعدل', 'الوطني', 'العام', 'ب', 'النسبة', 'إلى', 'الصف', 'الثامن', '.']","['VERB', 'ADP', 'NOUN', 'ADJ', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'CCONJ', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT']",Algeria
n01005023,"على سبيل المقارنة , تكلف الأمر 103,7 مليون دولار أمريكي ل بناء محطة مترو "" نوما "" البينية التي افتتحت عام 2004 .","['على', 'سبيل', 'المقارنة', ',', 'تكلف', 'الأمر', '103,7', 'مليون', 'دولار', 'أمريكي', 'ل', 'بناء', 'محطة', 'مترو', '""', 'نوما', '""', 'البينية', 'التي', 'افتتحت', 'عام', '2004', '.']","['ADP', 'NOUN', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'NUM', 'NUM', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'NOUN', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'ADJ', 'PRON', 'VERB', 'ADV', 'NUM', 'PUNCT']",Modern Standard Arabic
n01005024,"قال جو ستيرنليب , رئيس منطقة جورجتاون ل تطوير الأعمال : "" نواجه الكثير من المنافسة , و نرى أن ب وسع النقل ب المرور أن يساعد "" .","['قال', 'جو', 'ستيرنليب', ',', 'رئيس', 'منطقة', 'جورجتاون', 'ل', 'تطوير', 'الأعمال', ':', '""', 'نواجه', 'الكثير', 'من', 'المنافسة', ',', 'و', 'نرى', 'أن', 'ب', 'وسع', 'النقل', 'ب', 'المرور', 'أن', 'يساعد', '""', '.']","['VERB', 'PROPN', 'PROPN', 'PUNCT', 'NOUN', 'NOUN', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'PUNCT', 'PUNCT', 'VERB', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'CCONJ', 'VERB', 'SCONJ', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'ADP', 'VERB', 'PUNCT', 'PUNCT']",Saudi Arabia
n01005031,تقدر دراسة الجدوى أن المسافرين س يستغرقون نحو أربع دقائق ل عبور نهر بوتوماك على متن الجندول .,"['تقدر', 'دراسة', 'الجدوى', 'أن', 'المسافرين', 'س', 'يستغرقون', 'نحو', 'أربع', 'دقائق', 'ل', 'عبور', 'نهر', 'بوتوماك', 'على', 'متن', 'الجندول', '.']","['VERB', 'NOUN', 'NOUN', 'SCONJ', 'NOUN', 'PART', 'VERB', 'ADV', 'NUM', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'PUNCT']",Oman
n01006011,أخبر شاهد عيان الشرطة أن الضحية هاجم المشتبه ب ه في شهر نيسان الماضي .,"['أخبر', 'شاهد', 'عيان', 'الشرطة', 'أن', 'الضحية', 'هاجم', 'المشتبه', 'ب', 'ه', 'في', 'شهر', 'نيسان', 'الماضي', '.']","['VERB', 'NOUN', 'ADJ', 'NOUN', 'SCONJ', 'NOUN', 'VERB', 'NOUN', 'ADP', 'PRON', 'ADP', 'NOUN', 'PROPN', 'ADJ', 'PUNCT']",Modern Standard Arabic
n01007012,ثمة أوجه تشابهٍ هنا بين الألعاب و حيات نا اليومية .,"['ثمة', 'أوجه', 'تشابهٍ', 'هنا', 'بين', 'الألعاب', 'و', 'حيات', 'نا', 'اليومية', '.']","['ADV', 'NOUN', 'NOUN', 'ADV', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'PRON', 'ADJ', 'PUNCT']",Modern Standard Arabic
n01008017,و ارتفعت تلك النسبة ب اطراد ب مرور السنين ـ 11 ب المئة فقط من إجمالي الأصوات طرحت يوم الانتخابات عام 1996 وفق مكتب الإحصاء ـ و يبدو أن ها من المرجح أن ترتفع مجدداً هذا العام .,"['و', 'ارتفعت', 'تلك', 'النسبة', 'ب', 'اطراد', 'ب', 'مرور', 'السنين', 'ـ', '11', 'ب', 'المئة', 'فقط', 'من', 'إجمالي', 'الأصوات', 'طرحت', 'يوم', 'الانتخابات', 'عام', '1996', 'وفق', 'مكتب', 'الإحصاء', 'ـ', 'و', 'يبدو', 'أن', 'ها', 'من', 'المرجح', 'أن', 'ترتفع', 'مجدداً', 'هذا', 'العام', '.']","['PART', 'VERB', 'PRON', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT', 'NUM', 'ADP', 'NUM', 'ADV', 'ADP', 'NOUN', 'NOUN', 'VERB', 'ADV', 'NOUN', 'ADV', 'NUM', 'ADP', 'NOUN', 'NOUN', 'PUNCT', 'CCONJ', 'VERB', 'SCONJ', 'PRON', 'ADP', 'NOUN', 'ADP', 'VERB', 'ADV', 'PRON', 'ADV', 'PUNCT']",Saudi Arabia
n01009027,"قد يكون "" خنزير "" خنزيراً وحيداً , غير أن ه لا يترك وحد ه أبداً .","['قد', 'يكون', '""', 'خنزير', '""', 'خنزيراً', 'وحيداً', ',', 'غير', 'أن', 'ه', 'لا', 'يترك', 'وحد', 'ه', 'أبداً', '.']","['PART', 'AUX', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'ADJ', 'PUNCT', 'PART', 'SCONJ', 'PRON', 'PART', 'VERB', 'NOUN', 'PRON', 'ADV', 'PUNCT']",Modern Standard Arabic
n01009054,"قال ثاقب : "" طلبنا المساعدة من الدول الأخرى كي نملأ حديقة الحيوان ب أنواعٍ مختلفة من الحيوانات ب ما في ها الخنازير "" .","['قال', 'ثاقب', ':', '""', 'طلبنا', 'المساعدة', 'من', 'الدول', 'الأخرى', 'كي', 'نملأ', 'حديقة', 'الحيوان', 'ب', 'أنواعٍ', 'مختلفة', 'من', 'الحيوانات', 'ب', 'ما', 'في', 'ها', 'الخنازير', '""', '.']","['VERB', 'PROPN', 'PUNCT', 'PUNCT', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'VERB', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'PRON', 'ADP', 'PRON', 'NOUN', 'PUNCT', 'PUNCT']",Modern Standard Arabic
n01010042,قال السيد بانفالكار أن ه شعر ذات مرة أن علي هم ترك المبنى .,"['قال', 'السيد', 'بانفالكار', 'أن', 'ه', 'شعر', 'ذات', 'مرة', 'أن', 'علي', 'هم', 'ترك', 'المبنى', '.']","['VERB', 'NOUN', 'PROPN', 'SCONJ', 'PRON', 'VERB', 'NOUN', 'NOUN', 'SCONJ', 'ADP', 'PRON', 'NOUN', 'NOUN', 'PUNCT']",Modern Standard Arabic
n01011004,وجهت إلي ها التهمة أيضاً ب محاولة قتل ابنت ها ذات العامين .,"['وجهت', 'إلي', 'ها', 'التهمة', 'أيضاً', 'ب', 'محاولة', 'قتل', 'ابنت', 'ها', 'ذات', 'العامين', '.']","['VERB', 'ADP', 'PRON', 'NOUN', 'ADV', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'PRON', 'ADJ', 'NOUN', 'PUNCT']",Jordan
n01011011,صرحت الشرطة أن المرأة قتلت أندريه برايس الثالث من خلال ضغط وجه ه ب فرشة هوائية في غرفة جلوس ها قبل أن تحاول فعل ذات الشيء مع ابنت ها .,"['صرحت', 'الشرطة', 'أن', 'المرأة', 'قتلت', 'أندريه', 'برايس', 'الثالث', 'من', 'خلال', 'ضغط', 'وجه', 'ه', 'ب', 'فرشة', 'هوائية', 'في', 'غرفة', 'جلوس', 'ها', 'قبل', 'أن', 'تحاول', 'فعل', 'ذات', 'الشيء', 'مع', 'ابنت', 'ها', '.']","['VERB', 'NOUN', 'SCONJ', 'NOUN', 'VERB', 'PROPN', 'PROPN', 'ADJ', 'ADP', 'ADP', 'NOUN', 'NOUN', 'PRON', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'NOUN', 'PRON', 'ADP', 'ADP', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'PRON', 'PUNCT']",Modern Standard Arabic
n01011017,"س أدخل السجن في كل الأحوال , آمل أن الأمر كان يستحق .","['س', 'أدخل', 'السجن', 'في', 'كل', 'الأحوال', ',', 'آمل', 'أن', 'الأمر', 'كان', 'يستحق', '.']","['PART', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'VERB', 'ADP', 'NOUN', 'AUX', 'VERB', 'PUNCT']",Modern Standard Arabic
n01012003,"بدأت أولى اليزيديات ب البكاء , ثم تبعت ها إحدى صديقات ها .","['بدأت', 'أولى', 'اليزيديات', 'ب', 'البكاء', ',', 'ثم', 'تبعت', 'ها', 'إحدى', 'صديقات', 'ها', '.']","['VERB', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'CCONJ', 'VERB', 'PRON', 'DET', 'NOUN', 'PRON', 'PUNCT']",Modern Standard Arabic
n01013005,وقع السيد أوزبورن عقداً مع وكالة استشارية أمريكية بعد أن صرف من عمل ه في تموز .,"['وقع', 'السيد', 'أوزبورن', 'عقداً', 'مع', 'وكالة', 'استشارية', 'أمريكية', 'بعد', 'أن', 'صرف', 'من', 'عمل', 'ه', 'في', 'تموز', '.']","['VERB', 'NOUN', 'PROPN', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADJ', 'ADP', 'ADP', 'VERB', 'ADP', 'NOUN', 'PRON', 'ADP', 'PROPN', 'PUNCT']",Modern Standard Arabic
n01014003,قال مايكل فالون أن تاريخ البدء ب قطع الفولاذ س يسهم في تأمين استثمارات جديدة و حفظ مئات الوظائف المهارية حتى عام 2035 .,"['قال', 'مايكل', 'فالون', 'أن', 'تاريخ', 'البدء', 'ب', 'قطع', 'الفولاذ', 'س', 'يسهم', 'في', 'تأمين', 'استثمارات', 'جديدة', 'و', 'حفظ', 'مئات', 'الوظائف', 'المهارية', 'حتى', 'عام', '2035', '.']","['VERB', 'PROPN', 'PROPN', 'SCONJ', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PART', 'VERB', 'ADP', 'NOUN', 'NOUN', 'ADJ', 'CCONJ', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'NUM', 'PUNCT']",Modern Standard Arabic
n01014012,أطلق وعد البحرية الملكية ب إجراء ترتيبات جديدة ل تأمين صناعة السفن في نهر كلايد قبل استفتاء استقلال اسكتلندا عام 2014 .,"['أطلق', 'وعد', 'البحرية', 'الملكية', 'ب', 'إجراء', 'ترتيبات', 'جديدة', 'ل', 'تأمين', 'صناعة', 'السفن', 'في', 'نهر', 'كلايد', 'قبل', 'استفتاء', 'استقلال', 'اسكتلندا', 'عام', '2014', '.']","['VERB', 'NOUN', 'PROPN', 'ADJ', 'ADP', 'NOUN', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'PROPN', 'ADV', 'NUM', 'PUNCT']",Modern Standard Arabic
n01015033,و يتجلى هذا ب أبهى صور ه عندما يكون اسم الشخص الشهير نادراً جداً في البداية .,"['و', 'يتجلى', 'هذا', 'ب', 'أبهى', 'صور', 'ه', 'عندما', 'يكون', 'اسم', 'الشخص', 'الشهير', 'نادراً', 'جداً', 'في', 'البداية', '.']","['PART', 'VERB', 'PRON', 'ADP', 'ADJ', 'NOUN', 'PRON', 'ADP', 'AUX', 'NOUN', 'NOUN', 'ADJ', 'ADJ', 'ADV', 'ADP', 'NOUN', 'PUNCT']",Saudi Arabia
n01015036,"و ب حلول عام 2007 , و في عز رواج ه ( و رواج نايتلي ربما ) , كان الاسم من بين أكثر 50 اسماً رواجاً , و كان الأطفال الذين يحملون اسم Keira أكثر ب ثلاث مرات من من يحملون اسم Kiera .","['و', 'ب', 'حلول', 'عام', '2007', ',', 'و', 'في', 'عز', 'رواج', 'ه', '(', 'و', 'رواج', 'نايتلي', 'ربما', ')', ',', 'كان', 'الاسم', 'من', 'بين', 'أكثر', '50', 'اسماً', 'رواجاً', ',', 'و', 'كان', 'الأطفال', 'الذين', 'يحملون', 'اسم', 'Keira', 'أكثر', 'ب', 'ثلاث', 'مرات', 'من', 'من', 'يحملون', 'اسم', 'Kiera', '.']","['PART', 'ADP', 'NOUN', 'NOUN', 'NUM', 'PUNCT', 'CCONJ', 'ADP', 'NOUN', 'NOUN', 'PRON', 'PUNCT', 'CCONJ', 'NOUN', 'PROPN', 'ADV', 'PUNCT', 'PUNCT', 'VERB', 'NOUN', 'ADP', 'ADP', 'DET', 'NUM', 'NOUN', 'NOUN', 'PUNCT', 'CCONJ', 'AUX', 'NOUN', 'PRON', 'VERB', 'NOUN', 'PROPN', 'ADJ', 'ADP', 'NUM', 'NOUN', 'ADP', 'PRON', 'VERB', 'NOUN', 'PROPN', 'PUNCT']",Saudi Arabia
n01016014,"ظنت الشركة الكورية في البداية أن اللوم يقع على عاتق خطأٍ في البطارية , و استبدلت بطاريات ها الخاصة ل تحل محل بطاريات الشركات الموردة .","['ظنت', 'الشركة', 'الكورية', 'في', 'البداية', 'أن', 'اللوم', 'يقع', 'على', 'عاتق', 'خطأٍ', 'في', 'البطارية', ',', 'و', 'استبدلت', 'بطاريات', 'ها', 'الخاصة', 'ل', 'تحل', 'محل', 'بطاريات', 'الشركات', 'الموردة', '.']","['VERB', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'SCONJ', 'NOUN', 'VERB', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'CCONJ', 'VERB', 'NOUN', 'PRON', 'ADJ', 'ADP', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'PUNCT']",Modern Standard Arabic
n01016019,أشار العديد من المحللين أن هواوي في موقعٍ مثاليٍ ل لاستفادة من كبوة سامسونغ .,"['أشار', 'العديد', 'من', 'المحللين', 'أن', 'هواوي', 'في', 'موقعٍ', 'مثاليٍ', 'ل', 'لاستفادة', 'من', 'كبوة', 'سامسونغ', '.']","['VERB', 'NOUN', 'ADP', 'NOUN', 'SCONJ', 'PROPN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'PUNCT']",Modern Standard Arabic
n01016032,"تفتقد هواتف "" ميت 9 "" واجهة ذكاء صناعي تفاعلية مثل "" غوغل أسيستانت "" و "" سيري "" الخاصة ب آبل .","['تفتقد', 'هواتف', '""', 'ميت', '9', '""', 'واجهة', 'ذكاء', 'صناعي', 'تفاعلية', 'مثل', '""', 'غوغل', 'أسيستانت', '""', 'و', '""', 'سيري', '""', 'الخاصة', 'ب', 'آبل', '.']","['VERB', 'NOUN', 'PUNCT', 'PROPN', 'NUM', 'PUNCT', 'NOUN', 'NOUN', 'ADJ', 'ADJ', 'ADP', 'PUNCT', 'PROPN', 'PROPN', 'PUNCT', 'CCONJ', 'PUNCT', 'PROPN', 'PUNCT', 'ADJ', 'ADP', 'PROPN', 'PUNCT']",Modern Standard Arabic
n01017005,لكن أحد خبراء السفريات نبه إلى أن الإنترنت خلال رحلات الطيران كان لا يعول علي ه و كان من المستبعد أن يؤثر على اختيار المسافرين ل شركات الطيران .,"['لكن', 'أحد', 'خبراء', 'السفريات', 'نبه', 'إلى', 'أن', 'الإنترنت', 'خلال', 'رحلات', 'الطيران', 'كان', 'لا', 'يعول', 'علي', 'ه', 'و', 'كان', 'من', 'المستبعد', 'أن', 'يؤثر', 'على', 'اختيار', 'المسافرين', 'ل', 'شركات', 'الطيران', '.']","['PART', 'DET', 'NOUN', 'NOUN', 'VERB', 'ADP', 'SCONJ', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'AUX', 'PART', 'VERB', 'ADP', 'PRON', 'CCONJ', 'VERB', 'ADP', 'NOUN', 'ADP', 'VERB', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT']",Saudi Arabia
n01017008,لكن قد يكون الأمر أن الخطوط الجوية البريطانية و مجموعة الخطوط الجوية الدولية ( آي إيه جي ) قررتا الانطلاق و تقديم شيءٍ يمكن الاعتماد علي ه بعض الشيء .,"['لكن', 'قد', 'يكون', 'الأمر', 'أن', 'الخطوط', 'الجوية', 'البريطانية', 'و', 'مجموعة', 'الخطوط', 'الجوية', 'الدولية', '(', 'آي', 'إيه', 'جي', ')', 'قررتا', 'الانطلاق', 'و', 'تقديم', 'شيءٍ', 'يمكن', 'الاعتماد', 'علي', 'ه', 'بعض', 'الشيء', '.']","['PART', 'PART', 'VERB', 'NOUN', 'SCONJ', 'NOUN', 'ADJ', 'ADJ', 'CCONJ', 'NOUN', 'NOUN', 'ADJ', 'ADJ', 'PUNCT', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'VERB', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'ADP', 'PRON', 'DET', 'NOUN', 'PUNCT']",Oman
n01017010,قالت الشركة ل لبي بي سي أن أن المسؤولية تقع على عاتق كل شركة طيران ل تحديد ما إذا كانت س تتقاضى رسوماً على استخدام الإنترنت .,"['قالت', 'الشركة', 'ل', 'لبي', 'بي', 'سي', 'أن', 'أن', 'المسؤولية', 'تقع', 'على', 'عاتق', 'كل', 'شركة', 'طيران', 'ل', 'تحديد', 'ما', 'إذا', 'كانت', 'س', 'تتقاضى', 'رسوماً', 'على', 'استخدام', 'الإنترنت', '.']","['VERB', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PROPN', 'ADP', 'ADP', 'NOUN', 'VERB', 'ADP', 'NOUN', 'DET', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'PART', 'ADP', 'AUX', 'PART', 'VERB', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT']",Modern Standard Arabic
n01017013,"قد يجد أغلب الناس أن "" الواي-فاي "" في المطارات أكثر فائدة من القدرة على إرسال الرسائل الإلكترونية داخل الطائرات .","['قد', 'يجد', 'أغلب', 'الناس', 'أن', '""', 'الواي-فاي', '""', 'في', 'المطارات', 'أكثر', 'فائدة', 'من', 'القدرة', 'على', 'إرسال', 'الرسائل', 'الإلكترونية', 'داخل', 'الطائرات', '.']","['PART', 'VERB', 'DET', 'NOUN', 'SCONJ', 'PUNCT', 'NOUN', 'PUNCT', 'ADP', 'NOUN', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PUNCT']",Modern Standard Arabic
n01018024,أحياناً يكون أشبه ب قوة عظمى .,"['أحياناً', 'يكون', 'أشبه', 'ب', 'قوة', 'عظمى', '.']","['ADV', 'AUX', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'PUNCT']",Saudi Arabia
n01018040,يجني المشروع أموال ه من خلال عقود الرعاية و الإعلانات .,"['يجني', 'المشروع', 'أموال', 'ه', 'من', 'خلال', 'عقود', 'الرعاية', 'و', 'الإعلانات', '.']","['VERB', 'NOUN', 'NOUN', 'PRON', 'ADP', 'ADP', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT']",Saudi Arabia
