,Sentence_ID,sentence,Tokens,POS_Tags,Dialect
10,11,يا اهلا وسهلا بتشرفنا واحلى كنافه نابلسيه وبتمغط الجبنه كمان,"['يا', 'اهلا', 'وسهلا', 'بتشرفنا', 'واحلى', 'كنافه', 'نابلسيه', 'وبتمغط', 'الجبنه', 'كمان']","['PART_VOC', 'VERB_NOM', 'CONJ+VERB_NOM', 'PART+VERB+PRON', 'CONJ+ADJ_COMP', 'NOUN', 'ADJ', 'CONJ+PART+VERB', 'PART_DET+NOUN', 'ADV']",Lebanon
11,12,قال روحو تسلو بشغله تنفعكن احسن,"['قال', 'روحو', 'تسلو', 'بشغله', 'تنفعكن', 'احسن']","['VERB', 'VERB', 'VERB', 'PREP+NOUN', 'VERB+PRON', 'ADJ_COMP']",Iraq
12,13,يا زلمي ليش راسك هيك,"['يا', 'زلمي', 'ليش', 'راسك', 'هيك']","['PART_VOC', 'NOUN_PROP', 'PRON_INTERROG', 'NOUN+PRON', 'PRON_DEM']",Lebanon
13,14,بعرف من كلمه بحبك,"['بعرف', 'من', 'كلمه', 'بحبك']","['PART+VERB', 'PREP', 'NOUN', 'PART+NOUN+PRON']",Jordan
14,15,من دون دوله لبنانيه,"['من', 'دون', 'دوله', 'لبنانيه']","['PREP', 'ADV', 'NOUN', 'ADJ']",Yemen
15,16,بتمسك تلفونك بتزهق بتترك تلفونك بتزهق,"['بتمسك', 'تلفونك', 'بتزهق', 'بتترك', 'تلفونك', 'بتزهق']","['PART+VERB', 'NOUN+PRON', 'PART+VERB', 'PART+VERB', 'NOUN+PRON', 'PART+VERB']",Syria
16,17,وائل طب ليش حرام,"['وائل', 'طب', 'ليش', 'حرام']","['NOUN_PROP', 'INTERJ', 'PRON_INTERROG', 'NOUN_PROP']",Lebanon
17,18,دخيلو لالله من فوق انا,"['دخيلو', 'لالله', 'من', 'فوق', 'انا']","['VERB_PSEUDO+PRON', 'PREP+NOUN_PROP', 'PREP', 'NOUN', 'PRON']",Lebanon
18,19,بيكفي صواريخ العما بقلبك شو كذاب,"['بيكفي', 'صواريخ', 'العما', 'بقلبك', 'شو', 'كذاب']","['PART+VERB', 'NOUN', 'PART_DET+NOUN', 'PART+NOUN+PRON', 'PRON_INTERROG', 'ADJ']",Lebanon
19,20,دوله ما بتمون على الشارع وما بتمون على الكهربا حتى الزباله ما بتمون عليها دوله غير موجوده الا للسرقات,"['دوله', 'ما', 'بتمون', 'على', 'الشارع', 'وما', 'بتمون', 'على', 'الكهربا', 'حتى', 'الزباله', 'ما', 'بتمون', 'عليها', 'دوله', 'غير', 'موجوده', 'الا', 'للسرقات']","['NOUN', 'PART_NEG', 'PART+VERB', 'PREP', 'PART_DET+NOUN', 'CONJ+PART_NEG', 'PART+VERB', 'PREP', 'PART_DET+NOUN', 'CONJ', 'PART_DET+NOUN', 'PART_NEG', 'PART+VERB', 'PREP+PRON', 'NOUN', 'PART_NEG', 'ADJ', 'PART_FOCUS', 'PREP+PREP+NOUN']",Libya
20,21,حالك مع اصدقاء صرلك عمر طويل بتعرفن وبلحقيقه ما بتكون بتعرفن,"['حالك', 'مع', 'اصدقاء', 'صرلك', 'عمر', 'طويل', 'بتعرفن', 'وبلحقيقه', 'ما', 'بتكون', 'بتعرفن']","['NOUN+PRON', 'PREP', 'NOUN', 'NOUN+PRON', 'NOUN', 'ADJ', 'PART+VERB+PRON', 'CONJ+PART+PART_DET+NOUN', 'PART_NEG', 'PART+VERB', 'PART+VERB+PRON']",Iraq
21,22,اليوم حلقه الركع يا هشام انشالله مستجابه صلواتك,"['اليوم', 'حلقه', 'الركع', 'يا', 'هشام', 'انشالله', 'مستجابه', 'صلواتك']","['PART_DET+NOUN', 'NOUN', 'PART_DET+NOUN', 'PART_VOC', 'NOUN_PROP', 'NOUN_PROP', 'ADJ', 'NOUN+PRON']",Iraq
22,23,رح ترجع المارونيه السياسيه,"['رح', 'ترجع', 'المارونيه', 'السياسيه']","['PART_FUT', 'VERB', 'PART_DET+NOUN', 'PART_DET+ADJ']",Jordan
23,24,انا عم فكر حب بنت مش لبنانيه لأنه اسم الله صاروا كلهن اخواتي,"['انا', 'عم', 'فكر', 'حب', 'بنت', 'مش', 'لبنانيه', 'لأنه', 'اسم', 'الله', 'صاروا', 'كلهن', 'اخواتي']","['PRON', 'PART_PROG', 'VERB', 'VERB', 'NOUN', 'PART_NEG', 'ADJ', 'CONJ_SUB', 'NOUN', 'NOUN_PROP', 'VERB', 'NOUN_QUANT+PRON', 'NOUN+PRON']",Syria
24,25,حبيبتي فاتي انت جوهره,"['حبيبتي', 'فاتي', 'انت', 'جوهره']","['NOUN+PRON', 'FORIEGN', 'PRON', 'ADJ']",Libya
25,26,يجرب يكسر ميشال عون,"['يجرب', 'يكسر', 'ميشال', 'عون']","['VERB', 'VERB', 'NOUN_PROP', 'NOUN_PROP']",Egypt
26,27,ببلد المحاصصات الطائفيه والمذهبيه والمناطقيه ببلد الزعيم بيمتص كل قدرات الشعب ليضل متربع على عرشو ببلد ماشي بالتمديد لتالت مره,"['ببلد', 'المحاصصات', 'الطائفيه', 'والمذهبيه', 'والمناطقيه', 'ببلد', 'الزعيم', 'بيمتص', 'كل', 'قدرات', 'الشعب', 'ليضل', 'متربع', 'على', 'عرشو', 'ببلد', 'ماشي', 'بالتمديد', 'لتالت', 'مره']","['PREP+NOUN', 'PART_DET+NOUN', 'PART_DET+ADJ', 'CONJ+PART_DET+ADJ', 'CONJ+PART_DET+ADJ', 'PREP+NOUN', 'PART_DET+NOUN', 'PREP+VERB', 'NOUN_QUANT', 'NOUN', 'PART_DET+NOUN', 'PART+VERB', 'NOUN', 'PREP', 'NOUN+PRON', 'PREP+NOUN', 'ADJ', 'PREP+PART_DET+NOUN', 'PART+NOUN_NUM', 'NOUN']",Iraq
27,28,ما يتحاسب اذا كان غلطان,"['ما', 'يتحاسب', 'اذا', 'كان', 'غلطان']","['PART_NEG', 'VERB', 'CONJ_SUB', 'VERB', 'NOUN']",Saudi Arabia
28,29,منحبكن كتير من فرنسا,"['منحبكن', 'كتير', 'من', 'فرنسا']","['PART+VERB+PRON', 'ADV', 'PREP', 'NOUN']",Syria
29,30,يا عيوني انت,"['يا', 'عيوني', 'انت']","['PART_VOC', 'NOUN+PRON', 'PRON']",Lebanon
30,31,العلاج الوحيد للولد الدلوع ان يشعر بالمرمطه اللهم مرمط يلي ببالي,"['العلاج', 'الوحيد', 'للولد', 'الدلوع', 'ان', 'يشعر', 'بالمرمطه', 'اللهم', 'مرمط', 'يلي', 'ببالي']","['PART_DET+NOUN', 'PART_DET+ADJ', 'PREP+PREP+NOUN', 'PART_DET+ADJ', 'VERB_PSEUDO', 'VERB', 'PREP+PART_DET+NOUN', 'INTERJ', 'VERB', 'PRON_REL', 'PREP+NOUN+PRON']",Tunisia
31,32,عراسي يا جماعه,"['عراسي', 'يا', 'جماعه']","['PREP+NOUN+PRON', 'PART_VOC', 'NOUN']",Jordan
32,33,خلصونا من قرفن وقرفكن,"['خلصونا', 'من', 'قرفن', 'وقرفكن']","['VERB+PRON', 'PREP', 'NOUN+PRON', 'CONJ+NOUN+PRON']",Syria
33,34,انو النجس بلبنان بيطهر,"['انو', 'النجس', 'بلبنان', 'بيطهر']","['INTERJ', 'PART_DET+NOUN', 'PREP+NOUN_PROP', 'PREP+VERB']",Jordan
34,35,صار للدبانه دكانه وتسكر عبكير,"['صار', 'للدبانه', 'دكانه', 'وتسكر', 'عبكير']","['VERB', 'PREP+PREP+NOUN', 'NOUN', 'CONJ+VERB', 'PREP+ADV']",Iraq
35,36,حبيبه قلبي شو عفويه وبريئه يا احلى دمج,"['حبيبه', 'قلبي', 'شو', 'عفويه', 'وبريئه', 'يا', 'احلى', 'دمج']","['NOUN', 'NOUN+PRON', 'PRON_INTERROG', 'ADJ', 'CONJ+NOUN', 'PART_VOC', 'ADJ_COMP', 'NOUN_PROP']",Oman
36,37,لازم تنلغى رخص السلاح ويتلاحق كل واحد بيحمل سلاح وبقوص بعرس بعزا بسبب او بدون سبب,"['لازم', 'تنلغى', 'رخص', 'السلاح', 'ويتلاحق', 'كل', 'واحد', 'بيحمل', 'سلاح', 'وبقوص', 'بعرس', 'بعزا', 'بسبب', 'او', 'بدون', 'سبب']","['NOUN', 'VERB', 'NOUN', 'PART_DET+NOUN', 'CONJ+VERB', 'NOUN_QUANT', 'NOUN_NUM', 'PART+VERB', 'NOUN', 'CONJ+PART+VERB', 'PART+NOUN', 'PART+NOUN', 'PART+NOUN', 'CONJ', 'PART+ADV', 'NOUN']",Lebanon
37,38,لين دمج لابسه احمر بمناسبه اليوم العالمي للهيموفيليا,"['لين', 'دمج', 'لابسه', 'احمر', 'بمناسبه', 'اليوم', 'العالمي', 'للهيموفيليا']","['NOUN_PROP', 'NOUN_PROP', 'NOUN', 'ADJ', 'PREP+NOUN', 'PART_DET+NOUN', 'PART_DET+ADJ', 'PREP+PREP+NOUN']",Libya
38,39,ولك الله يحمي هالصوت,"['ولك', 'الله', 'يحمي', 'هالصوت']","['INTERJ', 'NOUN_PROP', 'VERB', 'PRON+PART_DET+NOUN']",Syria
39,40,لهون وصلنا وين الامن والسلامه وخاصه,"['لهون', 'وصلنا', 'وين', 'الامن', 'والسلامه', 'وخاصه']","['PREP+ADV', 'VERB', 'PRON_INTERROG', 'PART_DET+NOUN', 'CONJ+PART_DET+NOUN', 'CONJ+ADV']",Lebanon
40,41,بالسيطره علينا لانو حلمو رح يتحول لكابوس,"['بالسيطره', 'علينا', 'لانو', 'حلمو', 'رح', 'يتحول', 'لكابوس']","['PREP+PART_DET+NOUN', 'PREP+PRON', 'VERB_PSEUDO', 'NOUN+PRON', 'PART_FUT', 'VERB', 'PREP+NOUN']",Jordan
41,42,يضل الإنتماء السياسي اهم من المؤهلات والكفاءات,"['يضل', 'الإنتماء', 'السياسي', 'اهم', 'من', 'المؤهلات', 'والكفاءات']","['VERB', 'PART_DET+NOUN', 'PART_DET+ADJ', 'ADJ_COMP', 'PREP', 'PART_DET+NOUN', 'CONJ+PART_DET+NOUN']",Jordan
42,43,للإخوان العرب ما منحكي متل المسلسلات للإخوان الأجانب ما منقول حبيبي,"['للإخوان', 'العرب', 'ما', 'منحكي', 'متل', 'المسلسلات', 'للإخوان', 'الأجانب', 'ما', 'منقول', 'حبيبي']","['PREP+PREP+NOUN', 'PART_DET+ADJ', 'PART_NEG', 'PART+VERB', 'ADV', 'PART_DET+NOUN', 'PREP+PREP+NOUN', 'PART_DET+ADJ', 'PART_NEG', 'PART+VERB', 'NOUN+PRON']",Lebanon
43,44,متل السمكه شايف ملا جسم,"['متل', 'السمكه', 'شايف', 'ملا', 'جسم']","['ADV', 'PART_DET+NOUN', 'NOUN', 'INTERJ', 'NOUN']",Tunisia
44,45,بكل احاسيس الدنيي واوقات بتبطل تحس حتى بحالك,"['بكل', 'احاسيس', 'الدنيي', 'واوقات', 'بتبطل', 'تحس', 'حتى', 'بحالك']","['PREP+NOUN_QUANT', 'NOUN', 'PART_DET+NOUN', 'CONJ+NOUN', 'PREP+VERB', 'VERB', 'CONJ', 'PREP+NOUN+PRON']",Lebanon
45,46,يمدد الشهر نازلين عالشارع,"['يمدد', 'الشهر', 'نازلين', 'عالشارع']","['VERB', 'PART_DET+NOUN', 'ADJ', 'PREP+PART_DET+NOUN']",Syria
46,47,انو ننزل عالأرض مترددين,"['انو', 'ننزل', 'عالأرض', 'مترددين']","['INTERJ', 'VERB', 'PREP+PART_DET+NOUN', 'ADJ']",Lebanon
47,48,من مسأله ضرب معقده لأنها جزء من لعبه اقليميه ودوليه كبيره,"['من', 'مسأله', 'ضرب', 'معقده', 'لأنها', 'جزء', 'من', 'لعبه', 'اقليميه', 'ودوليه', 'كبيره']","['PREP', 'NOUN', 'VERB', 'NOUN', 'VERB_PSEUDO+PRON', 'NOUN', 'PREP', 'NOUN', 'NOUN', 'CONJ+NOUN', 'ADJ']",Yemen
48,49,لما منحكي عن الرئيس اكيد اكيد بيكون,"['لما', 'منحكي', 'عن', 'الرئيس', 'اكيد', 'اكيد', 'بيكون']","['CONJ_SUB', 'PART+VERB', 'PREP', 'PART_DET+NOUN', 'INTERJ', 'INTERJ', 'PART+VERB']",Lebanon
49,50,بس مش دايما يكون احساسك بمحلو,"['بس', 'مش', 'دايما', 'يكون', 'احساسك', 'بمحلو']","['CONJ', 'PART_NEG', 'ADV', 'VERB', 'NOUN+PRON', 'PREP+NOUN+PRON']",Palestine
50,51,الدموع اوقات بتكون صلاه,"['الدموع', 'اوقات', 'بتكون', 'صلاه']","['PART_DET+NOUN', 'NOUN', 'PART+VERB', 'NOUN']",Yemen
51,52,بأنو يمد ايدو على المشاريع التي ستقام,"['بأنو', 'يمد', 'ايدو', 'على', 'المشاريع', 'التي', 'ستقام']","['PART+VERB_PSEUDO+PRON', 'VERB', 'NOUN+PRON', 'PREP', 'PART_DET+NOUN', 'PRON_REL', 'PART_PROG+VERB']",Oman
52,53,اول مره بحضر من فتره فعلا طريقه عادل بالنكت ارقى من هشام هشام قرفنا البرامج الكوميديه,"['اول', 'مره', 'بحضر', 'من', 'فتره', 'فعلا', 'طريقه', 'عادل', 'بالنكت', 'ارقى', 'من', 'هشام', 'هشام', 'قرفنا', 'البرامج', 'الكوميديه']","['ADJ_NUM', 'NOUN', 'PART+VERB', 'PREP', 'ADV', 'CONJ', 'NOUN', 'NOUN_PROP', 'PART+PART_DET+NOUN', 'ADJ_COMP', 'PREP', 'NOUN_PROP', 'NOUN_PROP', 'VERB+PRON', 'PART_DET+NOUN', 'PART_DET+ADJ']",Yemen
53,54,اهضم ممثله فيفيان انطونيوس,"['اهضم', 'ممثله', 'فيفيان', 'انطونيوس']","['ADJ_COMP', 'NOUN', 'NOUN_PROP', 'NOUN_PROP']",Jordan
54,55,هه لا حرام رولا دايما بتطلع براسها,"['هه', 'لا', 'حرام', 'رولا', 'دايما', 'بتطلع', 'براسها']","['INTERJ', 'PART_NEG', 'NOUN', 'NOUN_PROP', 'ADV', 'PART+VERB', 'PART+NOUN+PRON']",Jordan
55,56,انو تبقى الرقابه غايبه عن الفساد,"['انو', 'تبقى', 'الرقابه', 'غايبه', 'عن', 'الفساد']","['INTERJ', 'VERB', 'PART_DET+NOUN', 'ADJ', 'PREP', 'PART_DET+NOUN']",Libya
56,57,انو ما حدن عم يفهمك,"['انو', 'ما', 'حدن', 'عم', 'يفهمك']","['INTERJ', 'PART_NEG', 'NOUN', 'PART_PROG', 'VERB+PRON']",Lebanon
57,58,هلق بتحمل حالك وبتجي لعندي يلا,"['هلق', 'بتحمل', 'حالك', 'وبتجي', 'لعندي', 'يلا']","['ADV', 'PART+VERB', 'NOUN+PRON', 'CONJ+PART+VERB', 'PREP+PREP+PRON', 'INTERJ']",Syria
58,59,يقبرني ربك ما احلاك,"['يقبرني', 'ربك', 'ما', 'احلاك']","['VERB+PRON', 'NOUN+PRON', 'PRON_EXCLAM', 'ADJ_COMP+PRON']",Lebanon
59,60,يا شحارنا من بعد,"['يا', 'شحارنا', 'من', 'بعد']","['PART_VOC', 'NOUN+PRON', 'PREP', 'ADV']",Morocco
60,61,اذا حطيت ايدي بجيبتي وما لقيت التلفون,"['اذا', 'حطيت', 'ايدي', 'بجيبتي', 'وما', 'لقيت', 'التلفون']","['CONJ_SUB', 'VERB', 'NOUN+PRON', 'PART+NOUN+PRON', 'CONJ+PART_NEG', 'VERB', 'PART_DET+NOUN']",Qatar
61,62,بعمرو الواحد ما يوثق بحدا واهم شي انو هو بلا ضمير,"['بعمرو', 'الواحد', 'ما', 'يوثق', 'بحدا', 'واهم', 'شي', 'انو', 'هو', 'بلا', 'ضمير']","['PREP+NOUN+PRON', 'PART_DET+NOUN', 'PART_NEG', 'VERB', 'PREP+NOUN', 'CONJ+ADJ_COMP', 'NOUN', 'INTERJ', 'PRON', 'PART_DET', 'NOUN']",Iraq
62,63,اذا مش عالأوزاعي عالزهراني,"['اذا', 'مش', 'عالأوزاعي', 'عالزهراني']","['CONJ_SUB', 'PART_NEG', 'PREP+NOUN_PROP', 'PREP+NOUN_PROP']",Lebanon
63,64,ولا اهضم ولا احلى من هيك,"['ولا', 'اهضم', 'ولا', 'احلى', 'من', 'هيك']","['INTERJ', 'ADJ_COMP', 'INTERJ', 'ADJ_COMP', 'PREP', 'PRON_DEM']",Jordan
64,65,عادل بدون كتير تيوصالو لعندك,"['عادل', 'بدون', 'كتير', 'تيوصالو', 'لعندك']","['NOUN_PROP', 'VERB_PSEUDO', 'ADV', 'PART+VERB', 'PREP+PREP+PRON']",Lebanon
65,66,ليك دونالد انت خيي الكبير وميلانيا متل اختي وكل العالم بتعرف,"['ليك', 'دونالد', 'انت', 'خيي', 'الكبير', 'وميلانيا', 'متل', 'اختي', 'وكل', 'العالم', 'بتعرف']","['PRON_DEM', 'NOUN_PROP', 'PRON', 'NOUN+PRON', 'PART_DET+ADJ', 'CONJ+NOUN_PROP', 'ADV', 'NOUN+PRON', 'CONJ+NOUN_QUANT', 'PART_DET+NOUN', 'PART+VERB']",Lebanon
66,67,ما تعذب قلبك ابو شربل الفاصل لازم يكون بالانتخابات,"['ما', 'تعذب', 'قلبك', 'ابو', 'شربل', 'الفاصل', 'لازم', 'يكون', 'بالانتخابات']","['PART_NEG', 'VERB', 'NOUN+PRON', 'NOUN', 'NOUN_PROP', 'PART_DET+NOUN', 'NOUN', 'VERB', 'PREP+PART_DET+NOUN']",Iraq
67,68,الله لا يسامحك يا جو,"['الله', 'لا', 'يسامحك', 'يا', 'جو']","['NOUN_PROP', 'PART_NEG', 'VERB+PRON', 'PART_VOC', 'NOUN_PROP']",Saudi Arabia
68,69,في ولاد عم تحضر شو صايرلك,"['في', 'ولاد', 'عم', 'تحضر', 'شو', 'صايرلك']","['PREP', 'NOUN_PROP', 'PART_PROG', 'VERB', 'PRON_INTERROG', 'NOUN+PRON']",Lebanon
69,70,فلا تعمل فيها سبع البرمبه ولا تصدق انه الفار بيصير اسد,"['فلا', 'تعمل', 'فيها', 'سبع', 'البرمبه', 'ولا', 'تصدق', 'انه', 'الفار', 'بيصير', 'اسد']","['PREP+PART_NEG', 'VERB', 'PREP+PRON', 'NOUN', 'PART_DET+NOUN', 'CONJ+PART_NEG', 'VERB', 'INTERJ', 'PART_DET+NOUN', 'PART+VERB', 'NOUN']",Oman
70,71,ما في غيرك دارس منيح هشام,"['ما', 'في', 'غيرك', 'دارس', 'منيح', 'هشام']","['PART_NEG', 'PREP', 'NOUN+PRON', 'NOUN', 'ADJ', 'NOUN_PROP']",Syria
71,72,هه يسعد صباحك مختار,"['هه', 'يسعد', 'صباحك', 'مختار']","['INTERJ', 'VERB', 'NOUN+PRON', 'NOUN']",Morocco
72,73,الكل حضر الا انا اوكي كس اخت الكهربا,"['الكل', 'حضر', 'الا', 'انا', 'اوكي', 'كس', 'اخت', 'الكهربا']","['PART_DET+NOUN_QUANT', 'VERB', 'PART_RESTRICT', 'PRON', 'FORIEGN', 'NOUN', 'NOUN', 'PART_DET+NOUN']",Iraq
73,74,ولو شو بلا نظر,"['ولو', 'شو', 'بلا', 'نظر']","['INTERJ', 'PRON_INTERROG', 'ADV', 'NOUN']",Syria
74,75,اليوم انا فرصه المهم عم بحضر الابراج عمحطه العيب حرام هلمذيعه عم تقول الابراج وخايفه تغلط وتصير ماده عند,"['اليوم', 'انا', 'فرصه', 'المهم', 'عم', 'بحضر', 'الابراج', 'عمحطه', 'العيب', 'حرام', 'هلمذيعه', 'عم', 'تقول', 'الابراج', 'وخايفه', 'تغلط', 'وتصير', 'ماده', 'عند']","['PART_DET+ADV', 'PRON', 'NOUN', 'PART_DET+ADJ', 'PART_PROG', 'PART+VERB', 'PART_DET+NOUN', 'PREP+NOUN', 'PART_DET+NOUN', 'NOUN_PROP', 'PRON_DEM+PART_DET+NOUN', 'PART_PROG', 'VERB', 'PART_DET+NOUN', 'CONJ+NOUN', 'VERB', 'CONJ+VERB', 'NOUN', 'PREP']",Lebanon
75,76,ننسى السرقات ال عملتن ميشال سليمان بالدوله,"['ننسى', 'السرقات', 'ال', 'عملتن', 'ميشال', 'سليمان', 'بالدوله']","['VERB', 'PART_DET+NOUN', 'PART_DET', 'VERB+PRON', 'NOUN_PROP', 'NOUN_PROP', 'PREP+PART_DET+NOUN']",Iraq
76,77,فقط في لبنان كلمه يا ذكي يعني العكس يا غبي,"['فقط', 'في', 'لبنان', 'كلمه', 'يا', 'ذكي', 'يعني', 'العكس', 'يا', 'غبي']","['PART_RESTRICT', 'VERB_PSEUDO', 'NOUN_PROP', 'NOUN', 'PART_VOC', 'ADJ', 'VERB', 'PART_DET+NOUN', 'PART_VOC', 'ADJ']",Oman
77,78,لا الحق عشربل ولا عشربل الحق عالاهل الطايشين,"['لا', 'الحق', 'عشربل', 'ولا', 'عشربل', 'الحق', 'عالاهل', 'الطايشين']","['PART_NEG', 'PART_DET+NOUN', 'PREP+NOUN_PROP', 'PART_NEG', 'PREP+NOUN_PROP', 'PART_DET+NOUN', 'PREP+PART_DET+NOUN', 'PART_DET+ADJ']",Lebanon
78,79,احلى ما نعيش بأحلامو,"['احلى', 'ما', 'نعيش', 'بأحلامو']","['ADJ_COMP', 'PRON_REL', 'VERB', 'PREP+NOUN+PRON']",Tunisia
