Sentence_ID,sentence,Tokens,NER_Tags,Dialect
37,الامريكى : وياترى كيف وصلوا للتقنية . . . هاي وكيف ممكن اعدلها ?,"['الامريكى', ':', 'وياترى', 'كيف', 'وصلوا', 'للتقنية', '.', '.', '.', 'هاي', 'وكيف', 'ممكن', 'اعدلها', '?']","['B-NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Iraq
38,شعب مش معقول بحسبها من جميع,"['شعب', 'مش', 'معقول', 'بحسبها', 'من', 'جميع']","['O', 'O', 'O', 'O', 'O', 'O']",Saudi Arabia
39,النواحي هههههههههههههه,"['النواحي', 'هههههههههههههه']","['O', 'O']",Jordan
40,يقلب المخده إذا كان الجو نااار,"['يقلب', 'المخده', 'إذا', 'كان', 'الجو', 'نااار']","['O', 'O', 'O', 'O', 'O', 'O']",Yemen
41,فيحصل على مخدة أبرد,"['فيحصل', 'على', 'مخدة', 'أبرد']","['O', 'O', 'O', 'O']",Modern Standard Arabic
42,ابرد من هيك شعب ما شفت ههههههههههههههه,"['ابرد', 'من', 'هيك', 'شعب', 'ما', 'شفت', 'ههههههههههههههه']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",Syria
43,أنا حاسس انو بيوم عرسي,"['أنا', 'حاسس', 'انو', 'بيوم', 'عرسي']","['O', 'O', 'O', 'B-DATE', 'O']",Jordan
44,أمي راح تقلي خد الزبالة معك وانت طالع,"['أمي', 'راح', 'تقلي', 'خد', 'الزبالة', 'معك', 'وانت', 'طالع']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Jordan
45,ههههههههههههههههه,['ههههههههههههههههه'],['O'],Yemen
46,شب : ألوو ?,"['شب', ':', 'ألوو', '?']","['O', 'O', 'O', 'O']",Lebanon
47,البنت : هلا مين ?,"['البنت', ':', 'هلا', 'مين', '?']","['O', 'O', 'O', 'O', 'O']",Jordan
48,"الشب : بس سؤال واحد , , إذا عندك حبيب بسكر السماعة ! !","['الشب', ':', 'بس', 'سؤال', 'واحد', ',', ',', 'إذا', 'عندك', 'حبيب', 'بسكر', 'السماعة', '!', '!']","['O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Syria
49,"البنت : أه عندي , , بس مين ? ? !","['البنت', ':', 'أه', 'عندي', ',', ',', 'بس', 'مين', '?', '?', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Palestine
50,الشب : أنا أخوكي يا بنت الكلب استني لأرجع عالبيت ! !,"['الشب', ':', 'أنا', 'أخوكي', 'يا', 'بنت', 'الكلب', 'استني', 'لأرجع', 'عالبيت', '!', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Lebanon
51,البنت قالت : رحنا,"['البنت', 'قالت', ':', 'رحنا']","['O', 'O', 'O', 'O']",Jordan
52,مكالمة مجهولة بنفس اليوم : الشب : ألوو ?,"['مكالمة', 'مجهولة', 'بنفس', 'اليوم', ':', 'الشب', ':', 'ألوو', '?']","['O', 'O', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'O']",Jordan
53,البنت : هلا مين ?,"['البنت', ':', 'هلا', 'مين', '?']","['O', 'O', 'O', 'O', 'O']",Jordan
54,الشب : بس سؤال و إذا عندك حبيب بسكر السماعة ! !,"['الشب', ':', 'بس', 'سؤال', 'و', 'إذا', 'عندك', 'حبيب', 'بسكر', 'السماعة', '!', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Syria
55,"البنت : لأ ما عندي , , بس مين ?","['البنت', ':', 'لأ', 'ما', 'عندي', ',', ',', 'بس', 'مين', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Palestine
56,الشب : أنا حبيبك يا تافهة الله ياخدك نسيتي وبعتي الحب بهالسرعة ?,"['الشب', ':', 'أنا', 'حبيبك', 'يا', 'تافهة', 'الله', 'ياخدك', 'نسيتي', 'وبعتي', 'الحب', 'بهالسرعة', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Syria
57,البنت : أنا أسفة حبيبي فكرتك أخوي,"['البنت', ':', 'أنا', 'أسفة', 'حبيبي', 'فكرتك', 'أخوي']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",Egypt
58,"الشب : أنا اخوكي بس حبيت اتاكد مشان ما اظلمك , , هيني ع الطريق أنا بورجيكي","['الشب', ':', 'أنا', 'اخوكي', 'بس', 'حبيت', 'اتاكد', 'مشان', 'ما', 'اظلمك', ',', ',', 'هيني', 'ع', 'الطريق', 'أنا', 'بورجيكي']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Syria
59,ههههههههههههههه تب,"['ههههههههههههههه', 'تب']","['O', 'O']",Libya
60,بابا كل ما امرق من الحارة في شله زعران بيقولولي ليموناضة,"['بابا', 'كل', 'ما', 'امرق', 'من', 'الحارة', 'في', 'شله', 'زعران', 'بيقولولي', 'ليموناضة']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Libya
61,راح لعندهم الاب وهددهم . .,"['راح', 'لعندهم', 'الاب', 'وهددهم', '.', '.']","['O', 'O', 'O', 'O', 'O', 'O']",Iraq
62,تاني يوم مرقت البنت هي و ابوها و الزعران كانوا موجودين وتذكروا التهديد و خافوا,"['تاني', 'يوم', 'مرقت', 'البنت', 'هي', 'و', 'ابوها', 'و', 'الزعران', 'كانوا', 'موجودين', 'وتذكروا', 'التهديد', 'و', 'خافوا']","['B-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Palestine
63,الاب : سترجي اخلطهم,"['الاب', ':', 'سترجي', 'اخلطهم']","['O', 'O', 'O', 'O']",Sudan
64,هههههههههههههههههههههه,['هههههههههههههههههههههه'],['O'],Yemen
65,بسرعه تروح معنا ولا لا,"['بسرعه', 'تروح', 'معنا', 'ولا', 'لا']","['O', 'O', 'O', 'O', 'O']",Jordan
66,هاي الجملة تخلي الواحد,"['هاي', 'الجملة', 'تخلي', 'الواحد']","['O', 'O', 'O', 'O']",Iraq
67,إذا طلبت من الحجة شغلة وهي بتصلي ! !,"['إذا', 'طلبت', 'من', 'الحجة', 'شغلة', 'وهي', 'بتصلي', '!', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Syria
68,وقالت : الله أكبر,"['وقالت', ':', 'الله', 'أكبر']","['O', 'O', 'O', 'O']",Syria
69,بس لو قالت : اللللللللللله أكبرررررررررررر . .,"['بس', 'لو', 'قالت', ':', 'اللللللللللله', 'أكبرررررررررررر', '.', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Yemen
70,و علت صوتها . .,"['و', 'علت', 'صوتها', '.', '.']","['O', 'O', 'O', 'O', 'O']",Libya
71,يعني لو زلمة إعملها ! !,"['يعني', 'لو', 'زلمة', 'إعملها', '!', '!']","['O', 'O', 'O', 'O', 'O', 'O']",Jordan
72,ههههههههههههههههههه,['ههههههههههههههههههه'],['O'],Palestine
73,في بنت كاتبه : من طفولتي مدللة و أعشق الدلال,"['في', 'بنت', 'كاتبه', ':', 'من', 'طفولتي', 'مدللة', 'و', 'أعشق', 'الدلال']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Egypt
74,وهي كانت حارس مرمى بالسطوح لولاد عمها,"['وهي', 'كانت', 'حارس', 'مرمى', 'بالسطوح', 'لولاد', 'عمها']","['O', 'O', 'B-OCC', 'I-OCC', 'O', 'O', 'O']",Syria
75,وتقولهم : بدون شمط ! هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه,"['وتقولهم', ':', 'بدون', 'شمط', '!', 'هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه']","['O', 'O', 'O', 'O', 'O', 'O']",Oman
76,غيري حفاضة عبود عاملها على حاله .,"['غيري', 'حفاضة', 'عبود', 'عاملها', 'على', 'حاله', '.']","['O', 'O', 'B-PERS', 'O', 'O', 'O', 'O']",Syria
77,بتدخل غرفتها وتسكر الباب,"['بتدخل', 'غرفتها', 'وتسكر', 'الباب']","['O', 'O', 'O', 'O']",Saudi Arabia
78,لدي اميرة أنجبتني فيا رب وفقني لطاعتها وبرها,"['لدي', 'اميرة', 'أنجبتني', 'فيا', 'رب', 'وفقني', 'لطاعتها', 'وبرها']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Modern Standard Arabic
79,طيب وحفاضة عبود,"['طيب', 'وحفاضة', 'عبود']","['O', 'O', 'B-PERS']",Syria
80,. . . الولد سمط,"['.', '.', '.', 'الولد', 'سمط']","['O', 'O', 'O', 'O', 'O']",Qatar
81,هههههههههههههههههههههههههه,['هههههههههههههههههههههههههه'],['O'],Egypt
82,مي خربو,"['مي', 'خربو']","['O', 'O']",Syria
83,ثلاثة زعران قاعدين بمزرعه كبست عليهم مكافحة المخدرات الاول طلع فوق عامود كهرباء والثاني نزل تحت سيارة,"['ثلاثة', 'زعران', 'قاعدين', 'بمزرعه', 'كبست', 'عليهم', 'مكافحة', 'المخدرات', 'الاول', 'طلع', 'فوق', 'عامود', 'كهرباء', 'والثاني', 'نزل', 'تحت', 'سيارة']","['B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'B-ORDINAL', 'O', 'O', 'O', 'O', 'B-ORDINAL', 'O', 'O', 'O']",Iraq
84,مسكت المكافحه الاول و سألوه واين المخدرات ?,"['مسكت', 'المكافحه', 'الاول', 'و', 'سألوه', 'واين', 'المخدرات', '?']","['O', 'O', 'B-ORDINAL', 'O', 'O', 'O', 'O', 'O']",Yemen
85,قالهم : انا موظف الكهرباء و بصلح بالعامود ENGLISHTEXT ENGLISHTEXT مسكوا الثاني سألوه واين المخدرات قلهم : انا ميكانيكي و بصلح بالسيارة ENGLISHTEXT ENGLISHTEXT مسكوا الثالث اللي تحت الحمار و سألوه وين المخدرات قالهم : : شو مخدرات مخدرات انا هسة انولدت,"['قالهم', ':', 'انا', 'موظف', 'الكهرباء', 'و', 'بصلح', 'بالعامود', 'ENGLISHTEXT', 'ENGLISHTEXT', 'مسكوا', 'الثاني', 'سألوه', 'واين', 'المخدرات', 'قلهم', ':', 'انا', 'ميكانيكي', 'و', 'بصلح', 'بالسيارة', 'ENGLISHTEXT', 'ENGLISHTEXT', 'مسكوا', 'الثالث', 'اللي', 'تحت', 'الحمار', 'و', 'سألوه', 'وين', 'المخدرات', 'قالهم', ':', ':', 'شو', 'مخدرات', 'مخدرات', 'انا', 'هسة', 'انولدت']","['O', 'O', 'O', 'B-OCC', 'I-OCC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'B-OCC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TIME', 'O']",Iraq
86,صرخ وقآل : . . اححححححححبهاااااااااا,"['صرخ', 'وقآل', ':', '.', '.', 'اححححححححبهاااااااااا']","['O', 'O', 'O', 'O', 'O', 'O']",Saudi Arabia
87,خرجت والدته من خلفه ثم قالت ; !,"['خرجت', 'والدته', 'من', 'خلفه', 'ثم', 'قالت', ';', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Oman
88,من هي تلكك !,"['من', 'هي', 'تلكك', '!']","['O', 'O', 'O', 'O']",Saudi Arabia
89,قبل رأسها وقال انها تلك ;,"['قبل', 'رأسها', 'وقال', 'انها', 'تلك', ';']","['O', 'O', 'O', 'O', 'O', 'O']",Oman
90,ENGLISHTEXT ام اولادي !,"['ENGLISHTEXT', 'ام', 'اولادي', '!']","['O', 'O', 'O', 'O']",Iraq
91,و حبيبتي,"['و', 'حبيبتي']","['O', 'O']",Tunisia
92,لهآ يا ولدي,"['لهآ', 'يا', 'ولدي']","['O', 'O', 'O']",Modern Standard Arabic
93,للقراءة فقط,"['للقراءة', 'فقط']","['O', 'O']",Modern Standard Arabic
94,للأطلاع فقط,"['للأطلاع', 'فقط']","['O', 'O']",Modern Standard Arabic
95,امه مو عربيه على فكرة,"['امه', 'مو', 'عربيه', 'على', 'فكرة']","['O', 'O', 'B-NORP', 'O', 'O']",Yemen
96,صاحباتها,['صاحباتها'],['O'],Libya
97,الأولى : بجنن رووووووعه,"['الأولى', ':', 'بجنن', 'رووووووعه']","['B-ORDINAL', 'O', 'O', 'O']",Syria
98,الثالثه : طول عمري بحكي إنك زوء,"['الثالثه', ':', 'طول', 'عمري', 'بحكي', 'إنك', 'زوء']","['B-ORDINAL', 'O', 'O', 'O', 'O', 'O', 'O']",Lebanon
99,الشب لما يشتري شوز جديد,"['الشب', 'لما', 'يشتري', 'شوز', 'جديد']","['O', 'O', 'O', 'O', 'O']",Saudi Arabia
100,أصحابه,['أصحابه'],['O'],Syria
101,الأول : خدلك ! ! بشبه بوت أخوي الصغير,"['الأول', ':', 'خدلك', '!', '!', 'بشبه', 'بوت', 'أخوي', 'الصغير']","['B-ORDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Jordan
102,إللي بضوي و بطفي,"['إللي', 'بضوي', 'و', 'بطفي']","['O', 'O', 'O', 'O']",Lebanon
103,الرابع : جايب منظر وجهك,"['الرابع', ':', 'جايب', 'منظر', 'وجهك']","['B-ORDINAL', 'O', 'O', 'O', 'O']",Libya
104,جلس الزوجان على الأريكة,"['جلس', 'الزوجان', 'على', 'الأريكة']","['O', 'O', 'O', 'O']",Modern Standard Arabic
105,فسألها ; بماذا تفكرين ! ?,"['فسألها', ';', 'بماذا', 'تفكرين', '!', '?']","['O', 'O', 'O', 'O', 'O', 'O']",Modern Standard Arabic
106,ف شمطها كف,"['ف', 'شمطها', 'كف']","['O', 'O', 'O']",Yemen
107,وقال لها ; بدك تتزوجي يا حيوانة,"['وقال', 'لها', ';', 'بدك', 'تتزوجي', 'يا', 'حيوانة']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",Jordan
108,ههههههههههههههههههههههههههههه,['ههههههههههههههههههههههههههههه'],['O'],Yemen
109,خذ معاك براغي و اول ما يطلع القطار فوق . .,"['خذ', 'معاك', 'براغي', 'و', 'اول', 'ما', 'يطلع', 'القطار', 'فوق', '.', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Saudi Arabia
110,هههههههههههههههههههههه,['هههههههههههههههههههههه'],['O'],Yemen
111,بتناديني حسب اخر فضيحة سويتها,"['بتناديني', 'حسب', 'اخر', 'فضيحة', 'سويتها']","['O', 'O', 'O', 'O', 'O']",Saudi Arabia
112,ليش لمآآ آحكي لحد زي وجهك,"['ليش', 'لمآآ', 'آحكي', 'لحد', 'زي', 'وجهك']","['O', 'O', 'O', 'O', 'O', 'O']",Saudi Arabia
113,يعني لهدرجة وجهك مآ بيساعد,"['يعني', 'لهدرجة', 'وجهك', 'مآ', 'بيساعد']","['O', 'O', 'O', 'O', 'O']",Yemen
114,فاقد الأمل,"['فاقد', 'الأمل']","['O', 'O']",Saudi Arabia
115,هههههههههههههههههههههه,['هههههههههههههههههههههه'],['O'],Yemen
116,اجيت انت لعنت امهم,"['اجيت', 'انت', 'لعنت', 'امهم']","['O', 'O', 'O', 'O']",Iraq
117,تبا لك ههههههههههههه,"['تبا', 'لك', 'ههههههههههههه']","['O', 'O', 'O']",Saudi Arabia
118,شب بحكي لحبيبتو,"['شب', 'بحكي', 'لحبيبتو']","['O', 'O', 'O']",Palestine
119,جبتلك هديه بتبدأ بحرف الواو,"['جبتلك', 'هديه', 'بتبدأ', 'بحرف', 'الواو']","['O', 'O', 'O', 'O', 'O']",Egypt
120,"حكت حبيبتو : يا سلاااااااااااام هديه ! أصبر خليني أفكر , وردة ?","['حكت', 'حبيبتو', ':', 'يا', 'سلاااااااااااام', 'هديه', '!', 'أصبر', 'خليني', 'أفكر', ',', 'وردة', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Egypt
121,قالت : وجبة من بيتزا هت,"['قالت', ':', 'وجبة', 'من', 'بيتزا', 'هت']","['O', 'O', 'O', 'O', 'O', 'O']",Egypt
122,قال : لا !,"['قال', ':', 'لا', '!']","['O', 'O', 'O', 'O']",Oman
123,قالت : وصلة ل تلفوني ?,"['قالت', ':', 'وصلة', 'ل', 'تلفوني', '?']","['O', 'O', 'O', 'O', 'O', 'O']",Jordan
124,قال : لآ,"['قال', ':', 'لآ']","['O', 'O', 'O']",Sudan
125,ههههههههههههههههههههههههههههههههههههههههههه قويه,"['ههههههههههههههههههههههههههههههههههههههههههه', 'قويه']","['O', 'O']",Yemen
126,قمة النذااااااااااااااله,"['قمة', 'النذااااااااااااااله']","['O', 'O']",Egypt
127,محشش رن على بنت وقال لها عادي,"['محشش', 'رن', 'على', 'بنت', 'وقال', 'لها', 'عادي']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",Saudi Arabia
128,نطلع مع بعض ?,"['نطلع', 'مع', 'بعض', '?']","['O', 'O', 'O', 'O']",Libya
129,المحشش : شكلك انتي ما فهمتي آنا,"['المحشش', ':', 'شكلك', 'انتي', 'ما', 'فهمتي', 'آنا']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",Saudi Arabia
130,ايش قلت ?,"['ايش', 'قلت', '?']","['O', 'O', 'O']",Yemen
131,المحشش : طيب انا ايش قلت ! ! وحط ع,"['المحشش', ':', 'طيب', 'انا', 'ايش', 'قلت', '!', '!', 'وحط', 'ع']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Yemen
132,المحشش : وآلله مشغول اليوم ما,"['المحشش', ':', 'وآلله', 'مشغول', 'اليوم', 'ما']","['O', 'O', 'O', 'O', 'B-DATE', 'O']",Syria
133,بقدر,['بقدر'],['O'],Lebanon
134,وجدت الام احمر الشفاة مكسور,"['وجدت', 'الام', 'احمر', 'الشفاة', 'مكسور']","['O', 'O', 'O', 'O', 'O']",Saudi Arabia
135,فغضبت,['فغضبت'],['O'],Jordan
136,وضربت ابنتها الصغيرة لأن يدها ملطخة به,"['وضربت', 'ابنتها', 'الصغيرة', 'لأن', 'يدها', 'ملطخة', 'به']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",Modern Standard Arabic
137,و كتب بجانبه احبك ماما,"['و', 'كتب', 'بجانبه', 'احبك', 'ماما']","['O', 'O', 'O', 'O', 'O']",Saudi Arabia
138,فرجعت لها مرة اخرى وضربتها,"['فرجعت', 'لها', 'مرة', 'اخرى', 'وضربتها']","['O', 'O', 'O', 'O', 'O']",Morocco
139,حكالها ;,"['حكالها', ';']","['O', 'O']",Jordan
140,بتعرفي نفسي ادعس على وجهك,"['بتعرفي', 'نفسي', 'ادعس', 'على', 'وجهك']","['O', 'O', 'O', 'O', 'O']",Oman
141,قلها : عشان اكون اول عربي بدعس على سطح القمر,"['قلها', ':', 'عشان', 'اكون', 'اول', 'عربي', 'بدعس', 'على', 'سطح', 'القمر']","['O', 'O', 'O', 'O', 'B-ORDINAL', 'B-NORP', 'O', 'O', 'O', 'O']",Egypt
142,يا حيوان مش هيك الرومانسية,"['يا', 'حيوان', 'مش', 'هيك', 'الرومانسية']","['O', 'O', 'O', 'O', 'O']",Jordan
143,ههههههههههههههههههه,['ههههههههههههههههههه'],['O'],Palestine
