Sentence_id,sentence
54,"اللي بيبيعك بالفول بيعو بالقشور"
55,"بالألم نشرح"
56,"أهلك أهلك و لو رموك عالمهلك"
57,"مافي أوان بيستحي من أوانو"
58,"أوت لا تموت"
59,"جحه أولى بلحم تورو"
60,"أوَص الضبع"
61,"نيال مين باس إيدو لحالو"
62,"من إيمتى كنا و الشمس ترقعنا"
63,"عرق آس و لا شماته بين الناس"
64,"آن الأوان و انتصب الميزان"
65,"الله يآنسك برحمتو"
66,"يللي بيدق الباب بيسمع الجواب"
67,"الولد إن بار تلتينو للخال"
68,"أبرد من طين الشته"
69,"بارك الله فيمن زار و خفف"
70,"أخد الحق و تلتين الباطل"
71,"الإيد اللي ما بتقدر عليها بوسها و إدعي عليها بالكسر"
72,"بحصه بتسند خابيه"
73,"العين بالعين و السن بالسن و البادي أظلم"
74,"بدك عنب لما بدك تقابل الناطور"
75,"بدّل غزلانو بقرودو"
76,"بيضل البرد قايم طوال مو النصراني صايم"
77,"الفرنجي برنجي"
78,"نيال المتهوم و عند ربو بري"
79,"إجا من البريه و أخد الأوليه"
80,"على قد بساطك مد رجليك"
81,"ساعة البسط ما بتتفوت"
82,"مين قامك بسبرو ما ظلمك"
83,"البطر عمى النّضر"
84,"إزا الأكل مو إلك بطنك مو إلك"
85,"بعيد عن الشر و غنيلو"
86,"وصل البل لدقني"
87,"ما في شي ببلاش إلا العمى و الطراش"
88,"طب الجره على تمها بتطلع البنت لأمها"
89,"بالع الموس عالحدين"
90,"يا بيتي يا بويتاتي يا مستّرلي عويباتي"
91,"بيضه شق اللفت"
92,"رضينا بالبين و البين ما رضي فينا"
93,"شاب و ما تاب"
94,"الله لا يتوّهلنا رأي"
95,"تجيكي مجية"
96,"يا داخل بين البصلة و قشرتها ما بينوبك إلا ريحتا"
97,"الأرض بتقول يا لطيف ياما عليي تقيل و خفيف"
98,"تمر و زيت مونة البيت"
99,"جحه جاب و جحه أكل"
100,"لا تاكل إلا جوعان ولا تنام إلا نعسان"
101,"بدو يفهم البيضه مين باضا و الجاجة مين جابا"
102,"يا جبل ما يهزك ريح"
103,"جخ و رخ"
104,"اللي مالو قديم مالو جديد"
105,"جعجعه بلا طحن"
106,"البعد جفا"
107,"و ما لذة العيش إلا للمجانين"
108,"اللي بيدق الباب بيسمع الجواب"
109,"الجار قبل الدار"
110,"لا بيحلّل و لا بيحرّم"
111,"الشجرة المثمرة كل الناس بتحاجرها"
112,"قللو شو اللي حاجك عالمر قلو اللي أمر"
113,"الخبز الحاف بيعرّض الكتاف"
114,"مشينا لحفينا و بكينا لعمينا"
115,"سبحان مغير الأحوال من حال إلى حال"
116,"تلاتة ما بيتخبوا الحب و الحبل و ركوب الجمل"
117,"حد العقرب لا تقرب حد الحية افروش و نام"
118,"حدّو ستين جهنم"
119,"ما صفي بالميدان إلا حديدان"
120,"محراك الشر"
121,"عين الحسود فيها عود"
122,"اللي بيزرع بيحصد"
123,"الأهل بياكلو الحصرم و الولاد بيضرسو"
124,"قاعد بحضنا و عم ينتف بدقنا"
125,"اللي بيحط عليك وردة منحط بعينو الشوكة"
126,"حظ اعطيني و بالبحر ارميني"
127,"الحزر واجب"
128,"اللي بيحفر حفرة بدو يوقع فيها"
129,"السكافي حافي و الحايك عريان"
130,"الحكي مو متل الشوف"
131,"عجَّز الحكما"
132,"إزا حل السئيل فما على القوم إلا الرحيل"
133,"حطن حلق بإذنيك"
134,"قالولو للحرامي احليف يمين قلَن إجاني الفرج"
135,"إزا حلق جارك بل دقنك"
136,"اللي حلّل حرّم"
137,"الحامي الله"
138,"ما بينام تحت الحمل إلا الندل"
139,"حمّال الأسيه"
140,"متل صبي الحمام إيد من ورا و إيد من قدام"
141,"لا يغرّك حمرة خدودها فتّش على أصلها و جدودها"
142,"متل حمّصة الكي"
143,"أحمض ما عندك طبوخ"
144,"حامل السلم بالعرض"
145,"أول الرقص حنجلة"
146,"حولينا ولا علينا"
147,"طق عرق الحيا من عينو"
148,"اجتمع المتعوس على خايب الرجا"
149,"إزا خليت خربت"
150,"إزا كبر ابنك خاويه"
151,"خبي قرشك الأبيض ليومك الأسود"
152,"إيدو متل المخباط"
153,"يا آخد القرد على مالو راح المال و صفي القرد بحالو"
154,"حواليه خدم و حشم"
155,"الحاق البوم بيدلك عالخراب"
156,"باب النجار مخلوع"
157,"من خلف ما مات"
158,"لو فيها خير ما رماها الطير"
159,"داب التلج و بان المرج"
160,"لو دامت لغيري ما وصلتلي"
161,"ما بعد الضيق إلا الفرج"
162,"عم داريها متل العين الرمدانة"
163,"بيسمع دبيب النملة"
164,"دخّان يعمي و لا برد يضني"
165,"اللي بياكل على درسو بينفع نفسو"
167,"الدفا عفا"
168,"قمنا من تحت الدلف قعدنا تحت المزراب"
169,"أحسن دوا شم الهوا"
170,"ما بيدوم إلا الحي القيوم"
171,"الدنيا دولاب و الدهر قلاب"
172,"الدين معاملة"
173,"محل الديق بيساع ألف صديق"
174,"الديك الفصيح من البيضة بيصيح"
175,"متل شباط ما على كلامو رباط"
176,"رجعت حليمة لعادتها القديمة"
177,"الرجال عند كلمته"
178,"العز للرز و البرغل شنق حالو"
179,"أرسي على بر"
180,"أكلني لحم و رماني عضم"
181,"الرّمد أشوى من العما"
182,"قلو مو رمانة قلو قلوب ملينة"
183,"كلمة يا ريت عمرا ما عمّرت بيت"
184,"على راسو ريشة"
185,"كل شي زاد عن حدو بينقلب ضدو"
186,"حظ متل الزفت"
187,"زكرنا القط إجا ينط"
189,"المال السايب بيعلم الحرامي السرقه"
190,"الله محيي السابت"
191,"لا تنط من فوق الأصاطيح"
192,"اسعى يا عبدي لأسعى معك"
193,"سفقو كف متل فراق الوالدين"
194,"صهري مسند ضهري"
195,"كلنا بالهوا سوا"
196,"يللي بيجيبو السيل بتاخدو الزوابع"
197,"القرش ما بيغطي عالشرش"
198,"االي أولو شرط آخرتو سلامة"
199,"ضربة المعلم بألف و لو شلفها شلف"
200,"اللهم لا شماتة"
201,"يا محاسن الصدف"
202,"صار و تصوّر"
203,"صام صام و فطر على بصلة"
204,"اصروف مافي الجيب يأتيك مافي الغيب"
205,"صعّبها بتصعب هوّنها بتهون"
206,"صافي يا لبن"
207,"ضحكة عنزة بالمسلخ"
208,"الطمع ضر ما نفع"
209,"طاش حجرو"
210,"هالطينة مو من هالعجينة"
211,"العجلة من الشيطان"
212,"عدو جدّك ما بيودك"
213,"عرس المجانين بكوانين"
214,"أعزب دهر و لا أرمل شهر"
215,"يا رايح بلا عزيمة يا رايح بلا قيمة"
216,"شو إلك بالقصر قلو من امبارح العصر"
217,"عطّال بطّال"
218,"خدو البنات من صدور العمّات"
219,"لبّس العود بيجود"
220,"الغالي حقو معو"
221,"فخار يكسر بعضو"
222,"اللي بيتطلع لفوق بتجعو رقبتو"
223,"قامت على طاولتها و أخدت الشنته و طلعت من الكفتيريا"
224,"طلعو اهلي ليطمنو عالبيت و انا لحقتهن و عم حاول استفسر وفهمت انه منيح بس رح يضل بالمستشفى الليله"
225,"انا الو و مستحيل كون إلك ماشي اوعدني"
226,"حلو الشرطه رح تعرف انا من الأول قلت ما في داعي للحكي"
227,"لك وين رايحة ما بدك تحطيلي عشا"
228,"رفعت الغطا عن وشها"
229,"كيف حطت ايدها على بطنها و سبلت بعيونها مو انا حبيبتي هاد الببو الجديد"
230,"امي صارت تدور علي بالشوارع سمعتها وهي عم تعيط علي برا و تقول لجارتنا شفتيها للعقربة هون ولا هون"
231,"طيب انت حاولت تتفاهم معا"
232,"كنتي صغيرة كتير و ما كنتي الا تحبي تلعبي"
233,"افهمي علي لازم تتسكر القضية لك العالم عم تحكي بشرفها و بسيرتها اشكال الوان"
234,"يعني بالفعل ما كنت اعرف كيف أوصل لقاعة الامتحان ما كون حاس برجلي قلبي يصير مكان البنكرياس و معدتي تلعي رهبه فظيعة و حلم واحد بين عيوني جراح مختص"
235,"لازم جوزي يشوف بعيونو انو ظلمني و اني ما رحت وما صار شي بيناتنا مشان الله"
236,"جوزك ما بجي لهون"
237,"لا مو على كيفك ما بكفي دفعت عليها للمعاهد خيرات الله"
238,"لا عمي الي هرب بالمصاري اول مرة بيهرب تاني مرة"
239,"حطيت ايدي على شعرها شوي شوي و قطعت تلات شعرات بسرعه"
240,"بعدين معك امي و انت ليش عم تباصي هيك و تتصفن"
241,"شو عم يصير"
242,"معناها بكون جايبلك هديتك معو"
243,"بس سمعت لهجة ابي نشف الدم بعروقي شو يرمي اليمين هيك بهل بساطه"
244,"لك انا بحبو و هو بحبني كيف عمل فيني هيك"
245,"وقفت و مسكت ببدلة شو عم يحكي ابني"
246,"فاتت ع غرفتها عم تغني و ترقص و عقلها طاير من الفرحه"
247,"انا بورجيكي يا ربي وين وصلنا من وين بدي بلش ما ضل وقت"
248,"بس مع هيك ما كان يهون عليي شوفها جوعانة بالأخص انها مريضة و معا فقر دم حاد و نقص تغذية و انا حبيتها كتير"
249,"لك مافي فايدة ما رح تستفيدو شي ازا عرفتو مين خلص اعملو الي بدكن ياه فيني"
250,"اجا أبي و عمي باتجاهي مسحت دمعتي و نزلت راسي و بس وصلو لعندي حط عمي إيدو على راسي و مزح معي"
251,"حبيبتي انتي ما بتعرفي مين بيكون وما بيعطي بنتو لمين ما كان لهيك ما تتعبي حالك"
252,"هاد انتي لا ما رح اعطيكي مرتي شو من أولها اشتقتيلها"
253,"ما تخاف عليه هو بيعرف يسبح منيح"
254,"حطتلي صحن ملوخية و صرت آكل متل اللي بعمرا مو شايفة ملوخية"
255,"فتحت عيوني و لقيتو قاعد جنبي"
256,"وكلي الله هلا بيجيبوها و منتطمن عليها"
257,"يابي الله يخليك خليني اطلع ابوس على إيدك"
258,"اشرتلي على قصر ضخم الو حديقة كبيرة كتير و محاوط بإنارة قوية و باب استقبال ضخم و مصف خاص للسيارات مشت مريم ولحقناها و قلتلها انو بدنا نقعد بالجنينة ما بدنا نفوت لجوا"
259,"و صارو العالم يطلعو بباصات"
260,"لا يا عمري ما سمعت شي"
261,"ركضت و ضمت بنتها و صارت تغنيلها و تهدهدلها"
262,"انا عم انطر حدا قللو شو صار معي"
263,"لا ما رح اتجوز لا تخافي"
264,"لبست مستعجلة و أخدت معي تفاحة و انا نازلة و نزلت عالسريع و اضطريت اخود تكسي مشان الحئ"
265,"خلص الدوام و ضبت غراضها بسرعة لتطلع بدون ما تشوفو أو يشوفها أخدت تكسي و راحت ع بيت أهلها كان صعب تخبي توترها و خوفها لهيك قررت تروح لعند هبة لأن ما عاد متحملة"
266,"اكلت كم لقمه و حسيتهن وقفو بحلقي و ما عاد نزلو كانت كل الوقت عم تحكي ما سكتت ولا لحظة بتحكي بكل شي و كله حكي فاضي و تافه كانها ما بتعرف شي بالحياة"
267,"تصبحي على خير"
268,"و فجأة شميت ريحة عطرو مسحت دموعي بمريول المطبخ و ركضت حطيت المقلاية عالغاز"
269,"وليه جدبه ما بدها كل هالقد بس شوية رياضة و نظام غذائي و بترجعي متل اول و انا بساعدك شو قلتي"
270,"وصّل سارة عالبيت يوم وفاة أمها كانت تحبو من وقتها و حبو كبر بقلبها كتير هو اكبر منها و هاد الحاجز كان يمنعو عنها بس هي كانت تحب فارق هالعمر بيناتهن كانت تحب ملامحو المنحوته ثقتو و غرورو"
271,"رفعت حواجبها باستغراب"
272,"فات عمي و حمل معو بطانية كبيرة طفى جرة الغاز و فتح شبابيك البيت و طلعوا من جوا"
273,"انا كرامتي فوق كل شي يا بتعيشي معي عالمرة قبل الحلوة او ما رح اجبرك على شي"
274,"رجع الموبايل يرن و ما كان يهدا و صحيت بنتي من نومها و صارت تبكي و انا إيدي تربطو"
275,"التفت علي و لقاني عم ابكي و دموعي معبين وشي التفتت وراي و اتطلعت على أختي الي كانت عم تبكي و تطلع علي"
276,"تماما هاد الي بدي قلك ياه"
277,"رفعت الغطا و اتطلعت باتجاه الباب و انا عم فكر خلص رح احكي كل شي مستحيل لازم احكي بدي احكي"
278,"سحب ايدو و نزل راسو"
279,"مرقو خمس سنين و هي ببيت أهلها خدامة لنسوان الأخوة و أمها الي كانت تحن عليها أحيانا ماتت"
280,"سكت أبي و حسيت الموضوع ما عجبو"
281,"رح دل كل رفقاتي عليكن"
282,"خدي أمي هاد الأكل اتغدو و انتبهي لدراستك أهم شي و من ترجع مرت خالك لعندكن دقيلي و انا بدي ارجع هلاء أعرف شو أعمل"
283,"بتذكر بوقتا قلت يا رب ارحمني"
284,"طيب يلا بتضلك أحسن من أختي الي ما رضيت تقوم معي"
285,"ضلو ساكت و فات قعد بالصاله و حط رجليه على الطاولة الي قدامو و رجع راسو لورا"
286,"انت ما قلتلي انا كنت جاي زور ابوك و انت فوتتني لعندو و لقيناه ميت و بعد ما انصدمنا انت ركضت عالخزنة الي كانت مفتوحة"
287,"نزلت عم تنط عالدرج و بلشت ترن على باب بيتو ضلت ترن الجرس لفتحتلها أمو"
288,"خلص هي خبيناهن منيح هيك"
289,"مشيت عالهدا و انمدت إيد و مسكتني بقوة كتير و سحبتني لورا"
290,"هجمت علي و صارت تضربني و تصرخ ليش عملتي فيني هيك الله ياخدك يا حقيرة"
291,"بعد ما حاولو يجمعونا صوت الرعب و البكي و أحلام أطفال انسرقت و أمهات بقيت بحسرة رحلة الموت ما كانت سهلة الكل كان عم ينطر باقي الأشخاص يللي كانو بالرحلة شي وصل جثث دايبة و شي وصل مأكول لحمو من سمك البحر قعدت أنا و هي نبكي على اللي صار"
292,"صار هو كل شي بالنسبة إلي و ما عاد اهتميت شو بيعمل وشو ما بيعمل ما عاد همني ابدا و لا عاد هز فيني شعره"
293,"ليش بليلة وحدة ملكت قلبو و حستو انو كل الحواجز بينها و بينو انزالت و الصبح اختفت من قدام عينو"
294,"مسك إيدها و مشي معها ليقعدو على عرشهن لأن بهاد اليوم المميز كل شي بيشهد انو هي و ياه ملك و ملكة"
295,"بغضب عليكي ليوم الدين و بيحرم علي شوف وشك او قلك بنتي حتى ازا متت بوصي ما تعرفي وين قبري"
296,"غمرتو لحضنها و شدت عليه بقوة كأنها خايفة يهرب من بين إيديها ذنبك إنو أمك ضعيفة كتير و مكسورة انت بتستاهل يكون عندك أم أحسن مني"
297,"قصتي إنو أنا بنت يتيمة عمري عشرين سنة"
298,"فتت عالمطعم كنت كتير خايفة بس ألبي عم يدئ"
299,"وين بنتي طلعيها وين رحتي ببنتي ياه حراميه"
300,"بدك مساعدة مرت عمي"
301,"رجع يحاول يراضيها بعد سنة رجعت حبلت و نسي الي صار فيها و رجع هددها انو إزا مو صبي رح يتجوز"
302,"مرحبا مرت عمي فيني احكي مع خطيبتي"
303,"لك يا بنتي هو تعرضلك شي"
304,"نحنا منكون عايشين بوهم و مفكرين إنو بالمعجزات فينا نعمل كل شي بس منطلع غلطانين كتير"
305,"بس فهميني ليش ضبيتي غراضك و رحتي"
306,"لك هاد بيت عمي بدي انزل لعندهن"
307,"ايه عنجد ولو التلك انا شربت هالكاس قبلك و ما بدي ياكي ضعيفة هيك لان ازا ضعفتي كتير ممكن تصيري متلي لازم تكوني قوية"
308,"بعد شوي ما قدرت ضل قاعدة كنت حاسة نار جوا جسمي ما كنت قادرة شوف حدا"
309,"فاتو عالمضافة و ركضت انا و شام ورا باب المضافة لنسمع الحديث من طقطق للسلام عليكم يعني من أولو لآخرو"
310,"شفت على الانترنت منزلين انو ابن رجل الأعمال رح يتجوز خدامة"
311,"قربت و قعدت عالأرض على ركبتي"
312,"وقتا كنت عم أمزح معك و ما تخيلت إنك تسدئ إنو اسمي هيك و هلأ شو بدك"
313,"يعني معقول يلاحقوك انت كمان"
314,"كنا كل الوقت نتراسل و يبعتلي صورو و يقلي انو عم يتجاوب مع العلاج ليرجعلي بسرعة"
315,"طيب عمتي خليني اخود هالتياب لانو تيابو توسخو و برجعلك"
316,"ركضت عالشباك و بعد ثواني نزل من البناية و كمل طريقو مشي بالشارع كان يمشي بتعب مو متل مشيتو بالعادة ما كان رافع راسو و حاط إيدو بجيبتو و عم يمشي بثقه"
317,"شو بعدك نايمة وين قميصي الأزرق"
318,"انتي ليش ما بدك ياني"
319,"و بسبب قراري هاد و بسبب عنادي"
320,"تعي احضنك ما عرفان شلون ردلك الجميل انتي غيرتيلي حياتي انتي أنقذتيني رح افديكي بعمري يا حياتي"
321,"مشان تشوف حفيدتها و تفرح فيها"
322,"مشان حدا يجي يخلصها منو"
323,"يا دكتور ما عم اتوهم أنا متأكدة"
324,"كان معي الكشاف وصلت لعند صندوق من الصناديق المتوسطة صرت شوف من الفتحة الصغيرة كان المنظر بشع كل شي فيران عم تمشي حوالين بعض"
325,"حطلي بسرعة حرام في ولاد بدهن سندويشات"
326,"بدك تعرفي شو بيرضيني"
327,"هو بحبني انا متأكدة لو الرسالة الي بعتتها وصلتو كان هلا إجا"
328,"اتركي شعرها لك اتركيها شو عملتيلها"
329,"بدك ترميني بالبحر"
330,"شلون تركتو البنت الصغيرة لحالها بالبيت"
331,"شبك ببساطة بتتخلى عني"
332,"انك مو طايقة تضلي معي بمكان واحد"
333,"بغضب عليك دنيا و آخرة إزا بتضل ورا هالبنت"
334,"وصلنا لمقبرة عن حق هالشي خلاني نازع من البكي و أختي ولا عبالها يا ريتني متت ولا رديت عليكي و جيت شفت الزفت الله ينجدنا و نطلع من هون"
335,"أي هاد جنون الحب"
336,"لا حبيبتي اسمحيلي هي بنت شوارع"
337,"مو انتي ما بدك ياها بدي ارميها اعطيني"
338,"اول مرّة بتزكر شي بهاد الوضوح يمكن بشي محل هون"
339,"ركض عالتلفيزيون و طلع الشريط و صار يكسر لصار مية شقفة و هجم علي و مسكني من شعري"
340,"رفضت المستشفى تخرجها لأنه لسا ما اطمنو عليها"
341,"لا المال و لا البيوت و لا الأملاك عملتني سلطانة"
342,"رجف البي مدري كيف قلتلو جاية و مدري كيف تركت ابي و امي نايمين و رديت الباب شوي شوي و طلعت و انا لابسة بيجامتي و عم اتلفت حواليي متل الحرامية"
343,"متل ما سمعتي و لتتأكدي اتصلي قليلو انو وقعت و شوفي هلا كيف رح يحكي معك ما رح ازعل منك بتعرفي ليش لان أنا وقت حبيت سرقت ابي لهيك ما في عتب عليكي"
344,"سالتو عن صحتو بالأول ما عرفني بس زكرتو بحالي و سالني ازا تجوزت و قلتلو لا"
345,"كأنك نحفانه او وجهك نحفان طبعا حسيت حالي الي سنة ما شفتها معقول بس أسبوع إلي ما شفتها"
346,"وقفت من مكانها و شدتو من إيدو بقوة انا رح خليك تعرف مين انا قوم معي"
347,"و يبعتلي انو بس شافني كان بدو ياني الو و هو متأكد اني أخدته شفقة و ما حبيت اكسر بخاطرو و لانو مشلول"
348,"بخليكي تفوتي بشرط واحد"
349,"صارت تبكي و تضرب حالها بكفي خلص اسكتي"
350,"قامت و لبست عالسريع ركبو بالسيارة و مشيو"
351,"بسم الله شو طالعة قمر يا مرتي و الله بعرف مانو هاين عليكي دخيلك و الله اشتقت لجمالك يا تؤبريني خدي هاي الهدية"
352,"ماشي إزا بدك فلوس كل يوم بترك لالك على الطاولة مصروف ليش ما بتاخديهن ما بكفو زودهن لالك"
353,"و من بيروت على تركيا و هنيك لقاهن بالمطار لان كان متفق معو سلفا و واعدينو بمبلغ محرز لهيك طلع شخصيا"
354,"انتي حطي ركوة القهوة عالغاز لنكمل حديثنا يلا قوام البن هنيك"
355,"حطت الصينية من إيدها و مشت لعندو"
356,"يعني الشاطرة بكل شي بتحسن تعمل كل شي و ما بتقول ما بعرف بتتعلم بسرعة مثلا سحارة البطاطا لو مافي غيرها أكل بالبيت الشاطرة بتحسن تعمل منها عشر أكلات من دون ما بتقول ما عنا افهمتي"
357,"شو ذنبي انا انتي اللي عم تهلوسي بالنوم اتجوزتيني و اتعشيتي بالنوم شو دخلني انا شوي و تبليني بشي طفل و انتي نايمة"
358,"لا شكرا ما عاد بدي وظيفة"
359,"فيه صبية حامل كمان هي رفيقتي أصلا انا بعرفها منيح"
360,"فاتت عالمكتب و البنات لاحظو انها مصدومة وما عم تحكي شي"
361,"بشتهي يقلي كيف كان نهارك حبيبتي"
362,"اه فهمت شبك نحنا وضع مختلف يعني انا واثق انو الي بقلبي تجاهك هو حب"
363,"حديثهم كان عم يزيد قلبي غصة و هو كل شوي يشوف ساعتو متلهف ليوصل البيت و انا نمت و فقت على هبوط الطيارة"
364,"قامت عن السفرة و صارت تلم الأكل إجت اللفاية من بعيد و قالتلها اتركي مدام انا بشيل كل شي"
365,"صارو أهلي يجو لعندنا يسهرو كل يوم و يجيبولنا بإيدهن شي متل فواكي أو خضار أو غيرو"
366,"يا ربي ما كون بحلم يا رب تجبر بخاطري"
367,"الك ساعة بتجلي خلصيني تعي لهون"
368,"سكتو كلهن شوي و كملت ترتيب لحالها"
369,"كان فعلا غير متزن بكل معنى الكلمة ما وصل لمركزو إلا بسبب واسطات و مصاري أبوه شخصيته مهزوزة و ضعيفة بالذات قدامي يمكن كان عايش صراع بين انسانيتو و وحشيتو انجرف بالطريق الغلط"
370,"حطت فرشاية الألوان بتمها و ضيقت بعيونها بعدم رضى"
371,"عملتها يا مغضوب قلتلك ما في جواز لتطلق مرتك عملتها و تجوزت"
372,"دخيل قلبك خجلتني كلو من زوئك"
373,"يا ريت و الله بس هو ما عم يقتنع"
374,"هلا أمك رح تخلينا نتجوز"
375,"رجعت نمت و ربطت المنبه بعد ساعتين"
376,"و كل ما كانت تخلف و يشوفو خلفتها بنت يقاطعوها و ينزعو فرحتها"
377,"كنت عم اتلمس الحيطان و حاول اسمع أي صوت"
378,"لبست الاكسسوارات و رشت عطر ياسمين"
379,"تمددت و حاولت آخود نفس و ارتاح شوي و صرت ابكي لأن الوجع عم يزيد بالتدريج خفت كتير و فكرت حالي رح أجهض بعد كل هالمعاناة ضليت للساعة تلاتة الفجر عم أتوجع"
380,"فتحت باب البيت و تركتو مفتوح وراي رميت حالي على أول كرسي طلع بوشي"
381,"والله منيحة ليكني بالدوام"
382,"متلا متل أي طفلة طلعت تبكي"
383,"كانت قاعدة لحالها قامت و راحت لعندها و قعدت جنبها"
384,"بس أول مرة بتشوف بنتا هيك و الشب شكلو محترم"
385,"اسمعو يا ولاد بدي ياكن مؤدبين تكونو ما تعملو صوت عند دار جدكن"
386,"هو كان متعود على هيك بس هي كانت مبهورة بالي عم تشوفو"
387,"بدي شوف رفقاتي و انبسط معهن بحبك أنا"
388,"دخيلي راح صير تيته"
389,"ماني طايلتك انزل لتحت"
390,"كان قاعد قدام التلفزيون عم يتابع المباراة"
391,"وافق أبي على مضد بس لان الناس بلشت تلت و تعجن شي يقول علقني و هرب و شي يحكي بأخلاقي"
392,"و يسكروه بباب لأن كان مكشوف على الشارع مباشرة"
393,"و توقفي معي لنقدر نمضي هالعرس على خير و بعد هيك وعد إنه ما تدخل فيكي أول تزعجك"
394,"وقفت تكسي و طلعت فيها"
395,"طلعت و لسا مو مسدئه إلي سمعتو الأرض مو حاملتها من فرحتها بعيونها فرحة الانتصار ما كانت متوقعة تربح المعركة بهي السهولة"
396,"والله دلقت هالمي عالدرج و بلشت أشطف"
397,"اجت أمي و حضرو أطيب الأكل و كل الطبخات من الشرقي و الغربي الحلو و الحامض و المالح الفواكي و المكسرات و العصائر"
398,"و الله لنكيف"
399,"خود عكش"
400,"من الجلدة للجلدة"
401,"انضربنا بالامتحان"
402,"طلاع من راسي"
403,"حمول حمالك و تعا"
404,"صرلي ساعة عم قلك دقيقة"
405,"طلاع من هالبواب"
406,"ضايعة الطاسة"
407,"ولي على بعضي"
408,"فتت بالحيط"
409,"قحّط خروء معلاق طفران عمنول الهفا تشنططنا تلحلح سرنوة كركمة كرفتة تتحورئي بلهموطي انطمز"
410,"لا تواخذني بهالكلمة"
411,"مع احترامي إلك"
412,"شو بدك بطول السيرة"
413,"بلا معلمية عليك"
414,"رحنا دبلكة"
415,"سيد راسي"
416,"بدك الصحيح و لا ابن عمو"
417,"عيّن خير"
418,"طاش حجري"
419,"صار الدم للركب"
420,"خود و عطي"
421,"قشة لفة قشة لفة"
422,"الله يستر عليها"
423,"اشتهيناك معنا"
424,"و حياة الخالقك ماني مفارقك"
425,"عقلو جوزتين بخرج"
426,"ما بيعرف الخمسة من الطمسة"
427,"هديك الحسبة"
428,"ما فقست عنو البيضة"
429,"طق حنك"
430,"خطوف رجلك"
431,"حط بالخرج"
432,"قلبو عم يعمل حق بق"
433,"يحرق حريشك"
434,"خنطأ منطأ"
435,"طلع بلعي طلع بلعي"
436,"طقت خواصري طقت خواصري"
437,"وقع قلبي بين رجليي وقع قلبي بين رجليي"
438,"تشرطو حناكي تشرطو حناطي"
439,"انسلق بدني انسلق بدني"
440,"طلع الدم لراسي طلع الدم لراسي"
441,"انعمى عقلبي"
442,"زحل عقلي"
443,"قلبت قد الكمشة"
444,"أزّت نفسي"
445,"انهز بدني"
446,"عصرت مخي"
447,"خبط لزق"
448,"شندي شندي بندي"
449,"شروي غروي شروي غروي"
450,"ولي على قامتي"
451,"شكلين ما بحكي"
452,"تشكل آسي"
453,"طلع من عيوني عامص"
