Sentence_ID,sentence,Tokens,NER_Tags,Dialect
24,بونجاح ڨاع الدراهم لي درتهم ، مقديتش تتعلم تكتب،الاخطاء الاملائية الركيكة,"['بونجاح', 'ڨاع', 'الدراهم', 'لي', 'درتهم', '،', 'مقديتش', 'تتعلم', 'تكتب،الاخطاء', 'الاملائية', 'الركيكة']","['B-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Morocco
25,بلادنا بلدية ف مريكان ميقبلوناش,"['بلادنا', 'بلدية', 'ف', 'مريكان', 'ميقبلوناش']","['O', 'O', 'O', 'B-LOC', 'O']",Tunisia
26,اقسم بالله كارثة تركنا الدين وإتباعنا البدع مسجد في عنابة يحتاج إلى 200 كيس من الاسمنت واحد مهدر عليه وكي جات في الملعب وشر البقاع كاااااامل هدرو الهم ردنا اليك ردا جميلا واسأل الله ان يهديني وإياكم وثبتنا وإياكم,"['اقسم', 'بالله', 'كارثة', 'تركنا', 'الدين', 'وإتباعنا', 'البدع', 'مسجد', 'في', 'عنابة', 'يحتاج', 'إلى', '200', 'كيس', 'من', 'الاسمنت', 'واحد', 'مهدر', 'عليه', 'وكي', 'جات', 'في', 'الملعب', 'وشر', 'البقاع', 'كاااااامل', 'هدرو', 'الهم', 'ردنا', 'اليك', 'ردا', 'جميلا', 'واسأل', 'الله', 'ان', 'يهديني', 'وإياكم', 'وثبتنا', 'وإياكم']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Saudi Arabia
27,اللغة العربية تستغيث,"['اللغة', 'العربية', 'تستغيث']","['O', 'O', 'O']",Morocco
28,L'algérie kamel أبهى حلة,"[""L'algérie"", 'kamel', 'أبهى', 'حلة']","['B-LOC', 'O', 'O', 'O']",Tunisia
29,خسارة عليهم، خدمة لعوج,"['خسارة', 'عليهم،', 'خدمة', 'لعوج']","['O', 'O', 'O', 'O']",Morocco
30,هنا غياب الدولة واضح.كاينة أطراف باغية تدمر اي حاجة مليحة فالجزائر وراهي المخابرات وراهي اللجان التقنية عيب ولله العظيم غير عيب...,"['هنا', 'غياب', 'الدولة', 'واضح.كاينة', 'أطراف', 'باغية', 'تدمر', 'اي', 'حاجة', 'مليحة', 'فالجزائر', 'وراهي', 'المخابرات', 'وراهي', 'اللجان', 'التقنية', 'عيب', 'ولله', 'العظيم', 'غير', 'عيب...']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Algeria
31,كاين حجا ماعرفتهاش ليه عندنا غيل هدا الصداد كاين نتاع عنابة تلمسان وكاين بزاف ...... ياك الجمهور مكانش ماهمش المكان,"['كاين', 'حجا', 'ماعرفتهاش', 'ليه', 'عندنا', 'غيل', 'هدا', 'الصداد', 'كاين', 'نتاع', 'عنابة', 'تلمسان', 'وكاين', 'بزاف', '......', 'ياك', 'الجمهور', 'مكانش', 'ماهمش', 'المكان']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Morocco
32,يا محرز ، راك تجي يومين فالعام و تلعب بالون و راك تنتقد في أرضية الملعب ( من حقك تنتقد نتا شيكور ),"['يا', 'محرز', '،', 'راك', 'تجي', 'يومين', 'فالعام', 'و', 'تلعب', 'بالون', 'و', 'راك', 'تنتقد', 'في', 'أرضية', 'الملعب', '(', 'من', 'حقك', 'تنتقد', 'نتا', 'شيكور', ')']","['O', 'B-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Algeria
33,كون لعبو في ستاد تع براقي احسن,"['كون', 'لعبو', 'في', 'ستاد', 'تع', 'براقي', 'احسن']","['O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']",Tunisia
34,يصرحو فيه البڨري هههههه,"['يصرحو', 'فيه', 'البڨري', 'هههههه']","['O', 'O', 'O', 'O']",Algeria
35,في هذي البلاد أول حاجة يديرها المسؤول هي يمشي مصالحه ومن بعد عاد على حساب الڨوسطو يخلي ضميره يشتغله ولا لا,"['في', 'هذي', 'البلاد', 'أول', 'حاجة', 'يديرها', 'المسؤول', 'هي', 'يمشي', 'مصالحه', 'ومن', 'بعد', 'عاد', 'على', 'حساب', 'الڨوسطو', 'يخلي', 'ضميره', 'يشتغله', 'ولا', 'لا']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Tunisia
36,على فكرة في نشرة الثامنة على قناة النظام الذي خونتم اخوتكم و ابناء شعبكم من اجله ذكروا في تقرير من دون حشمة او حياء ان المركب و الارضية في احسن حالة,"['على', 'فكرة', 'في', 'نشرة', 'الثامنة', 'على', 'قناة', 'النظام', 'الذي', 'خونتم', 'اخوتكم', 'و', 'ابناء', 'شعبكم', 'من', 'اجله', 'ذكروا', 'في', 'تقرير', 'من', 'دون', 'حشمة', 'او', 'حياء', 'ان', 'المركب', 'و', 'الارضية', 'في', 'احسن', 'حالة']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Tunisia
37,و منه نستنتج أن بلعمري كتابته صحيحة عكس بونجاح,"['و', 'منه', 'نستنتج', 'أن', 'بلعمري', 'كتابته', 'صحيحة', 'عكس', 'بونجاح']","['O', 'O', 'O', 'O', 'B-PERS', 'O', 'O', 'O', 'B-PERS']",Lebanon
38,بونجاح.. تتكتب أبهى,"['بونجاح..', 'تتكتب', 'أبهى']","['B-PERS', 'O', 'O']",Tunisia
39,القوة الضاربة,"['القوة', 'الضاربة']","['O', 'O']",Oman
40,مع المغرب برك,"['مع', 'المغرب', 'برك']","['O', 'B-LOC', 'O']",Algeria
41,ماكانش مسؤول راجل,"['ماكانش', 'مسؤول', 'راجل']","['O', 'O', 'O']",Tunisia
42,مش قادر قوم ولا طلڨ عثروك قدم استقالة تيعك يا تعيش راجل أو مت و انت تحاول ياااالرب آآآآآآآآآ,"['مش', 'قادر', 'قوم', 'ولا', 'طلڨ', 'عثروك', 'قدم', 'استقالة', 'تيعك', 'يا', 'تعيش', 'راجل', 'أو', 'مت', 'و', 'انت', 'تحاول', 'ياااالرب', 'آآآآآآآآآ']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Tunisia
43,محرز حط واحد لباص في باله البالون تروح كي لحرير لقاها جات راجعا,"['محرز', 'حط', 'واحد', 'لباص', 'في', 'باله', 'البالون', 'تروح', 'كي', 'لحرير', 'لقاها', 'جات', 'راجعا']","['B-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Algeria
44,بونجاح قرا اللغة العربية عند استاذ اللغة الفرنسية,"['بونجاح', 'قرا', 'اللغة', 'العربية', 'عند', 'استاذ', 'اللغة', 'الفرنسية']","['B-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Sudan
45,بونجاح متسرب,"['بونجاح', 'متسرب']","['B-PERS', 'O']",Morocco
46,هاذي هي القوة الضاربة,"['هاذي', 'هي', 'القوة', 'الضاربة']","['O', 'O', 'O', 'O']",Algeria
47,من أمن العقاب أساء الأدب,"['من', 'أمن', 'العقاب', 'أساء', 'الأدب']","['O', 'O', 'O', 'O', 'O']",Modern Standard Arabic
48,اللغة العربية تاع بونجاح هي لي في أبهى حلة,"['اللغة', 'العربية', 'تاع', 'بونجاح', 'هي', 'لي', 'في', 'أبهى', 'حلة']","['O', 'O', 'O', 'B-PERS', 'O', 'O', 'O', 'O', 'O']",Algeria
49,أبها يا بونجاح هكا علموك القراية,"['أبها', 'يا', 'بونجاح', 'هكا', 'علموك', 'القراية']","['O', 'O', 'B-PERS', 'O', 'O', 'O']",Tunisia
50,حتى يتعلمو يكتبو، ،ابها ،،،يا ودي روحو شوفو حالة المستشفيات اومبعد اهدرو على الملاعب شعب ثانوي يترك الأولويات و يتحدث عن الخرطي,"['حتى', 'يتعلمو', 'يكتبو،', '،ابها', '،،،يا', 'ودي', 'روحو', 'شوفو', 'حالة', 'المستشفيات', 'اومبعد', 'اهدرو', 'على', 'الملاعب', 'شعب', 'ثانوي', 'يترك', 'الأولويات', 'و', 'يتحدث', 'عن', 'الخرطي']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Tunisia
51,البلاد داخلة في حيط، الشعب مات بالشر و الصفحات كامل يهدرو على بلماضي ، الملعب ماشي مخدوم .... تحرير الوعي أصعب من تحرير البلاد.,"['البلاد', 'داخلة', 'في', 'حيط،', 'الشعب', 'مات', 'بالشر', 'و', 'الصفحات', 'كامل', 'يهدرو', 'على', 'بلماضي', '،', 'الملعب', 'ماشي', 'مخدوم', '....', 'تحرير', 'الوعي', 'أصعب', 'من', 'تحرير', 'البلاد.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Algeria
52,مكانش منها تلفون ل صورو بيه كاليتي تاعو مش مليحة,"['مكانش', 'منها', 'تلفون', 'ل', 'صورو', 'بيه', 'كاليتي', 'تاعو', 'مش', 'مليحة']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Tunisia
53,Bounedjah ma slek la 3erbiya la français la anglais mziya endou f rejlin,"['Bounedjah', 'ma', 'slek', 'la', '3erbiya', 'la', 'français', 'la', 'anglais', 'mziya', 'endou', 'f', 'rejlin']","['B-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Tunisia
54,وينك عمري ؟ ما بنتش! مزالك تنيغوسي على العدس ؟ نيغوسيلنا في طريقك على ستاد خخخ,"['وينك', 'عمري', '؟', 'ما', 'بنتش!', 'مزالك', 'تنيغوسي', 'على', 'العدس', '؟', 'نيغوسيلنا', 'في', 'طريقك', 'على', 'ستاد', 'خخخ']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Libya
55,واحد ماحكي على حالة المستشفيات,"['واحد', 'ماحكي', 'على', 'حالة', 'المستشفيات']","['O', 'O', 'O', 'O', 'O']",Syria
56,ارضية هاذي لوكان رجعوها,"['ارضية', 'هاذي', 'لوكان', 'رجعوها']","['O', 'O', 'O', 'O']",Algeria
57,بونجاح واللغة كارثة,"['بونجاح', 'واللغة', 'كارثة']","['B-PERS', 'O', 'O']",Iraq
58,هاذي تبان صالحة للزراعة,"['هاذي', 'تبان', 'صالحة', 'للزراعة']","['O', 'O', 'O', 'O']",Algeria
59,استغفر الله,"['استغفر', 'الله']","['O', 'O']",Qatar
60,شعار لا للعلم,"['شعار', 'لا', 'للعلم']","['O', 'O', 'O']",Iraq
61,القوة الناعسة,"['القوة', 'الناعسة']","['O', 'O']",Tunisia
62,ربي وكيلكم يا مسؤلين تاكلو النار في بطونكم مزال مع بريكولاج الله لا تربحكم,"['ربي', 'وكيلكم', 'يا', 'مسؤلين', 'تاكلو', 'النار', 'في', 'بطونكم', 'مزال', 'مع', 'بريكولاج', 'الله', 'لا', 'تربحكم']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Morocco
63,بونجاح لازم يغلط فالكتيبة,"['بونجاح', 'لازم', 'يغلط', 'فالكتيبة']","['B-PERS', 'O', 'O', 'O']",Morocco
64,بونجاح وقيل السيزيام مجابوش,"['بونجاح', 'وقيل', 'السيزيام', 'مجابوش']","['B-PERS', 'O', 'O', 'O']",Tunisia
65,راهي عاحبتني روح الفكاهة في الفريق مليحة,"['راهي', 'عاحبتني', 'روح', 'الفكاهة', 'في', 'الفريق', 'مليحة']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",Algeria
66,ربي وكيلهم,"['ربي', 'وكيلهم']","['O', 'O']",Tunisia
67,ابها,['ابها'],['O'],Yemen
68,هادي تاني كذبة !,"['هادي', 'تاني', 'كذبة', '!']","['O', 'O', 'O', 'O']",Libya
69,lokan tchouf story ta3 Okidja hhhhhhhh,"['lokan', 'tchouf', 'story', 'ta3', 'Okidja', 'hhhhhhhh']","['O', 'O', 'O', 'O', 'B-PERS', 'O']",Iraq
70,القوة الضاربة,"['القوة', 'الضاربة']","['O', 'O']",Oman
71,قوة ضاربة .,"['قوة', 'ضاربة', '.']","['O', 'O', 'O']",Algeria
72,قالهم بلماضي هدرت خطرة منزيدش نعاود قالك صامط يغلب القبيح.,"['قالهم', 'بلماضي', 'هدرت', 'خطرة', 'منزيدش', 'نعاود', 'قالك', 'صامط', 'يغلب', 'القبيح.']","['O', 'B-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Tunisia
73,ابهى حفرة,"['ابهى', 'حفرة']","['O', 'O']",Jordan
74,و هل يخفى القمر!!!,"['و', 'هل', 'يخفى', 'القمر!!!']","['O', 'O', 'O', 'O']",Saudi Arabia
75,يا بونجاح اللغة العربية تاعك داخلة في حيط,"['يا', 'بونجاح', 'اللغة', 'العربية', 'تاعك', 'داخلة', 'في', 'حيط']","['O', 'B-PERS', 'O', 'O', 'O', 'O', 'O', 'O']",Algeria
76,المشكل في لو فون تاع العمق,"['المشكل', 'في', 'لو', 'فون', 'تاع', 'العمق']","['O', 'O', 'O', 'O', 'O', 'O']",Algeria
77,marja d wra dar khir mnha,"['marja', 'd', 'wra', 'dar', 'khir', 'mnha']","['O', 'O', 'O', 'O', 'O', 'O']",Tunisia
78,ايادي خارجية,"['ايادي', 'خارجية']","['O', 'O']",Jordan
79,كون بدلو السطاد,"['كون', 'بدلو', 'السطاد']","['O', 'O', 'O']",Tunisia
80,يقولون المروك هو السبب,"['يقولون', 'المروك', 'هو', 'السبب']","['O', 'B-LOC', 'O', 'O']",Oman
81,Wya lkechfa,"['Wya', 'lkechfa']","['O', 'O']",Morocco
82,انا نحير فيكم كي يهدرو تامنوهم,"['انا', 'نحير', 'فيكم', 'كي', 'يهدرو', 'تامنوهم']","['O', 'O', 'O', 'O', 'O', 'O']",Tunisia
83,راهم حابيين يكسرو الفريق الوطني,"['راهم', 'حابيين', 'يكسرو', 'الفريق', 'الوطني']","['O', 'O', 'O', 'B-ORG', 'I-ORG']",Algeria
84,علمو بونجاح كيفاش يكتب,"['علمو', 'بونجاح', 'كيفاش', 'يكتب']","['O', 'B-PERS', 'O', 'O']",Tunisia
85,l3arbiya rahi bikirch,"['l3arbiya', 'rahi', 'bikirch']","['O', 'O', 'O']",Tunisia
86,مزالكم تامنو بالنوفال آلجيري,"['مزالكم', 'تامنو', 'بالنوفال', 'آلجيري']","['O', 'O', 'O', 'B-LOC']",Morocco
87,اغرسوه بطاطا وهنونا يرحم باباكم,"['اغرسوه', 'بطاطا', 'وهنونا', 'يرحم', 'باباكم']","['O', 'O', 'O', 'O', 'O']",Tunisia
88,نظن حتى القرنينة وراهي نابتة ف الستاد,"['نظن', 'حتى', 'القرنينة', 'وراهي', 'نابتة', 'ف', 'الستاد']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",Morocco
89,Ah ya Bladi,"['Ah', 'ya', 'Bladi']","['O', 'O', 'O']",Egypt
90,بلماضي لصق في تشاكر,"['بلماضي', 'لصق', 'في', 'تشاكر']","['B-PERS', 'O', 'O', 'B-PERS']",Tunisia
91,أبها vs أبهى,"['أبها', 'vs', 'أبهى']","['O', 'O', 'O']",Tunisia
92,هم يضحك وهم يبكي,"['هم', 'يضحك', 'وهم', 'يبكي']","['O', 'O', 'O', 'O']",Iraq
93,mahoch 9ari manedihech,"['mahoch', '9ari', 'manedihech']","['O', 'O', 'O']",Morocco
94,حكايتها كيما الجزائر الجديدة,"['حكايتها', 'كيما', 'الجزائر', 'الجديدة']","['O', 'O', 'B-LOC', 'O']",Tunisia
95,رئيس اتحادية لكرة قدم وراه كن نعيبوا على زطشي سعا هو كان مدرق عيب كبير,"['رئيس', 'اتحادية', 'لكرة', 'قدم', 'وراه', 'كن', 'نعيبوا', 'على', 'زطشي', 'سعا', 'هو', 'كان', 'مدرق', 'عيب', 'كبير']","['O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'B-PERS', 'O', 'O', 'O', 'O', 'O', 'O']",Tunisia
96,الكهول يا خويا يا خويا....د,"['الكهول', 'يا', 'خويا', 'يا', 'خويا....د']","['O', 'O', 'O', 'O', 'O']",Tunisia
97,بونجاح الكتيبة وميعرفش يكتب,"['بونجاح', 'الكتيبة', 'وميعرفش', 'يكتب']","['B-PERS', 'O', 'O', 'O']",Morocco
98,يلعبو و يبلعو فامهم.,"['يلعبو', 'و', 'يبلعو', 'فامهم.']","['O', 'O', 'O', 'O']",Tunisia
99,الهدف الرابع يثبت ذلك,"['الهدف', 'الرابع', 'يثبت', 'ذلك']","['O', 'O', 'O', 'O']",Oman
100,السؤال المطروح علاش ما يلعبوش في 5 جويلية,"['السؤال', 'المطروح', 'علاش', 'ما', 'يلعبوش', 'في', '5', 'جويلية']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Algeria
101,في كل الاحوال احسن من تشاكر,"['في', 'كل', 'الاحوال', 'احسن', 'من', 'تشاكر']","['O', 'O', 'O', 'O', 'O', 'B-PERS']",Libya
102,خونة,['خونة'],['O'],Tunisia
103,عادي تجارة,"['عادي', 'تجارة']","['O', 'O']",Saudi Arabia
104,ارضية الملعب كانت مدروسة من طرف المسؤولين باش اللاعبين يتعودو على الأرضية تاع ملعب النيجر في العودة و تفكير القادة ليس كتفكير العامة,"['ارضية', 'الملعب', 'كانت', 'مدروسة', 'من', 'طرف', 'المسؤولين', 'باش', 'اللاعبين', 'يتعودو', 'على', 'الأرضية', 'تاع', 'ملعب', 'النيجر', 'في', 'العودة', 'و', 'تفكير', 'القادة', 'ليس', 'كتفكير', 'العامة']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Algeria
