sentID.BTEC	split	lang	sent	sentiment
397	corpus-6-train	MSA	"The lights are off.
"	neutral
398	corpus-6-test-corpus-26-dev	MSA	"By the way, my name is Hirosh Igma.
"	neutral
400	corpus-6-train	MSA	"What's the time difference between Tokyo and here?
"	neutral
401	corpus-6-test-corpus-26-dev	MSA	"This train stops at Lake Forest, right?
"	neutral
403	corpus-6-train	MSA	"How much is the total?
"	neutral
404	corpus-6-train	MSA	"Thank you, sir.
"	positive
405	corpus-6-train	MSA	"Go ahead. Turn right at the third pole.
"	neutral
407	corpus-6-train	MSA	"I feel a sharp pain in my stomach.
"	negative
408	corpus-6-test-corpus-26-train	MSA	"Most Japanese eat oak and squid.
"	neutral
411	corpus-6-train	MSA	"Did you see that?
"	neutral
412	corpus-6-train	MSA	"It's a gift. Can you wrap this gift up for me?
"	positive
414	corpus-6-train	MSA	"Good evening, Mrs. Kent. We haven't met in a long time.
"	neutral
416	corpus-6-test-corpus-26-train	MSA	"Can I get two second-class tickets to Chicago, please?
"	neutral
417	corpus-6-train	MSA	"I'm happier.
"	positive
419	corpus-6-test-corpus-26-train	MSA	"I went to New York.
"	neutral
422	corpus-6-train	MSA	"I would like to change my booking to flight two zero five on October 2nd.
"	neutral
423	corpus-6-test-corpus-26-train	MSA	"What's the flight number?
"	neutral
426	corpus-6-train	MSA	"Where's the Delta registration table?
"	neutral
427	corpus-6-train	MSA	"Is this a low-sodium meal?
"	neutral
429	corpus-6-train	MSA	"This item is not allowed.
"	negative
431	corpus-6-train	MSA	"I think we can. Here's your paper.
"	positive
432	corpus-6-train	MSA	"What was the last thing you took off your clothes before you went to bed?
"	neutral
437	corpus-6-train	MSA	"No, I'll take it during my stay.
"	neutral
438	corpus-6-train	MSA	"Is it colored?
"	neutral
439	corpus-6-train	MSA	"Is this a private property in this neighborhood?
"	neutral
440	corpus-6-train	MSA	"I want some biscuits.
"	neutral
442	corpus-6-test-corpus-26-test	MSA	"One for New York, please.
"	positive
446	corpus-6-test-corpus-26-train	MSA	"For a few days.
"	neutral
447	corpus-6-test-corpus-26-train	MSA	"The second one is on the left.
"	neutral
448	corpus-6-train	MSA	"They look very small.
"	negative
452	corpus-6-train	MSA	"How was the tour?
"	neutral
454	corpus-6-dev	MSA	"I want a seat by the window, please.
"	neutral
456	corpus-6-train	MSA	"Can I take the train with a European train ticket?
"	neutral
457	corpus-6-train	MSA	"How long does it take to get to Japan?
"	neutral
458	corpus-6-train	MSA	"Do you have road maps?
"	neutral
459	corpus-6-train	MSA	"Oh, yeah, I read about it in the manual.
"	neutral
461	corpus-6-train	MSA	"I ordered three cups of tea. But only two came.
"	negative
462	corpus-6-train	MSA	"Electrical appliances are very cheap, but the cost of food and housing is very high.
"	negative
463	corpus-6-train	MSA	"I'll have it outside.
"	neutral
465	corpus-6-train	MSA	"He often took a size two and twenty in Japan.
"	neutral
466	corpus-6-train	MSA	"What are the hours of the Art Museum?
"	neutral
470	corpus-6-train	MSA	"Where should I pay?
"	neutral
471	corpus-6-test-corpus-26-dev	MSA	"This card, okay?
"	neutral
475	corpus-6-train	MSA	"Is this your first trip abroad?
"	neutral
477	corpus-6-train	MSA	"Which one's for the beginner's curriculum?
"	neutral
479	corpus-6-train	MSA	"Surely this country has more than one kind of fruit.
"	neutral
480	corpus-6-dev	MSA	"I want to check out this bag.
"	positive
482	corpus-6-train	MSA	"Is there food at the ski resort over this slope?
"	neutral
483	corpus-6-train	MSA	"Excuse me, I locked the door while I was out. Can I have another key?
"	neutral
485	corpus-6-train	MSA	"Convert these US dollars to Japanese yen, please.
"	neutral
487	corpus-6-dev	MSA	"It's hard to say goodbye.
"	negative
488	corpus-6-test-corpus-26-train	MSA	"Is this the front desk? Is there a clinic nearby?
"	neutral
489	corpus-6-train	MSA	"Excuse me, can I ask you what your dish is?
"	neutral
490	corpus-6-train	MSA	"They hurt me.
"	negative
492	corpus-6-train	MSA	"Which gate should I go to after that?
"	neutral
493	corpus-6-test-corpus-26-train	MSA	"Will ten dollars be enough for a cab?
"	neutral
495	corpus-6-train	MSA	"I think she was excellent. Good acting and good rubbish.
"	positive
496	corpus-6-train	MSA	"Hey, thank you so much.
"	positive
497	corpus-6-train	MSA	"I didn't like this room. Can I see another room?
"	negative
498	corpus-6-train	MSA	"It's the latest fashion of the summer.
"	neutral
499	corpus-6-train	MSA	"Take me to the city centre, please.
"	positive
502	corpus-6-train	MSA	"Can I rent a car?
"	neutral
503	corpus-6-test-corpus-26-train	MSA	"It tastes weird.
"	negative
505	corpus-6-train	MSA	"Fix it while I'm out of your way.
"	negative
507	corpus-6-train	MSA	"Do you have any snacks?
"	neutral
508	corpus-6-train	MSA	"Please speak slowly.
"	neutral
509	corpus-6-train	MSA	"I'll be an hour late.
"	negative
511	corpus-6-train	MSA	"I was.
"	neutral
512	corpus-6-test-corpus-26-train	MSA	"Wait, I'll get you one.
"	neutral
513	corpus-6-train	MSA	"A waiter.
"	neutral
514	corpus-6-train	MSA	"Is it going to rain all week?
"	neutral
516	corpus-6-test-corpus-26-train	MSA	"Half a bottle, please.
"	neutral
517	corpus-6-train	MSA	"Do they have live shows?
"	neutral
523	corpus-6-train	MSA	"Can I see this bag?
"	neutral
524	corpus-6-train	MSA	"You got something else?
"	neutral
525	corpus-6-train	MSA	"You need rest.
"	neutral
528	corpus-6-train	MSA	"Please fill out the following arrival card and customs form.
"	neutral
530	corpus-6-train	MSA	"Is this car heading to Seattle?
"	neutral
531	corpus-6-train	MSA	"Can I pay a portion of the fee now?
"	neutral
532	corpus-6-train	MSA	"Is it natural or artificial?
"	neutral
533	corpus-6-train	MSA	"Will you wait for me here?
"	neutral
535	corpus-6-train	MSA	"Oh, thank you. I've been looking for her for a while.
"	positive
538	corpus-6-train	MSA	"Cash or credit card?
"	neutral
539	corpus-6-train	MSA	"I'm completely out of place.
"	negative
540	corpus-6-test-corpus-26-train	MSA	"Not exactly. Just something not expensive.
"	neutral
541	corpus-6-dev	MSA	"Can it be washed in the laundry or hand-washed at home?
"	neutral
542	corpus-6-dev	MSA	"I need a watercolor box, please.
"	neutral
543	corpus-6-train	MSA	"Sorry, what did you want?
"	neutral
544	corpus-6-train	MSA	"I'd like to change the date to May 19th.
"	neutral
545	corpus-6-train	MSA	"Please sign here. This is your bill.
"	positive
546	corpus-6-train	MSA	"I want some socks.
"	neutral
547	corpus-6-train	MSA	"I need some beef.
"	neutral
548	corpus-6-test-corpus-26-train	MSA	"Are you looking for something?
"	neutral
549	corpus-6-train	MSA	"I want to be taken by bus to the bus station. Which buses do I take?
"	neutral
551	corpus-6-test-corpus-26-train	MSA	"Four nights.
"	neutral
553	corpus-6-test-corpus-26-train	MSA	"I want some men's socks.
"	neutral
556	corpus-6-train	MSA	"It's very low in calories. Only 30.
"	neutral
557	corpus-6-train	MSA	"I want to reserve a room.
"	neutral
558	corpus-6-train	MSA	"Where in Japan are you from?
"	neutral
560	corpus-6-train	MSA	"Unfortunately, he's too busy that day.
"	negative
561	corpus-6-dev	MSA	"In that case, I recommend this one.
"	positive
563	corpus-6-train	MSA	"Room service.
"	neutral
564	corpus-6-train	MSA	"Please be careful.
"	neutral
565	corpus-6-test-corpus-26-train	MSA	"Can you cut it down for some stains?
"	neutral
567	corpus-6-train	MSA	"Do you have any commemorative stamps?
"	neutral
568	corpus-6-train	MSA	"This is room three seventeen. Can I have another blanket?
"	neutral
569	corpus-6-train	MSA	"Can you get me to the station in fifteen minutes?
"	neutral
570	corpus-6-train	MSA	"We need a mortgage on the wagon.
"	neutral
571	corpus-6-test-corpus-26-train	MSA	"Someone hit me and then I found out my wallet was stolen.
"	negative
572	corpus-6-train	MSA	"There are no vacancies in single-bed rooms, but there are vacancies in double-bed rooms.
"	neutral
573	corpus-6-train	MSA	"Is this ticket only valid for the day?
"	neutral
575	corpus-6-train	MSA	"When do you get to Milan?
"	neutral
576	corpus-6-train	MSA	"Do you have anyone who speaks Japanese?
"	neutral
577	corpus-6-train	MSA	"What station is the pop music station on?
"	neutral
579	corpus-6-train	MSA	"Delta Airlines.
"	neutral
580	corpus-6-train	MSA	"I want a cup of coffee.
"	neutral
581	corpus-6-train	MSA	"Does it have a bathroom and a toilet?
"	neutral
582	corpus-6-train	MSA	"Time is up.
"	neutral
584	corpus-6-train	MSA	"I heard Mr. Yamada has two sons.
"	neutral
586	corpus-6-train	MSA	"I'd like to rent a shark boat.
"	neutral
588	corpus-6-train	MSA	"Can you make the dishes later?
"	neutral
589	corpus-6-train	MSA	"I want a gas stove.
"	neutral
591	corpus-6-train	MSA	"Can you change US dollars to pounds?
"	neutral
594	corpus-6-train	MSA	"Sure, sir. What's your name?
"	neutral
596	corpus-6-train	MSA	"I'm not in uniform.
"	neutral
597	corpus-6-train	MSA	"Please just come next time.
"	neutral
599	corpus-6-test-corpus-26-train	MSA	"I'm not sure if I've packed enough clothes for a three-day trip.
"	negative
600	corpus-6-train	MSA	"Two bucks each.
"	neutral
604	corpus-6-train	MSA	"We all made sure the chairs were sent to you by mail.
"	neutral
605	corpus-6-train	MSA	"There's something wrong with the rear-view detectors.
"	negative
607	corpus-6-train	MSA	"Show me some leather gloves, please.
"	neutral
608	corpus-6-train	MSA	"The car broke down. Please send someone to fix it.
"	negative
609	corpus-6-train	MSA	"Can you suggest a picture book for a six-year-old?
"	neutral
610	corpus-6-dev	MSA	"Can you keep my valuables, please?
"	neutral
611	corpus-6-train	MSA	"Hey, Harry. Thanks for inviting us.
"	positive
612	corpus-6-test-corpus-26-train	MSA	"Well, I'd like to try white wine.
"	positive
614	corpus-6-train	MSA	"They're in the movies till this time.
"	neutral
616	corpus-6-train	MSA	"I got about a thousand dollars in it.
"	neutral
619	corpus-6-train	MSA	"It's my fault.
"	negative
621	corpus-6-train	MSA	"I need some laundry matches.
"	neutral
623	corpus-6-train	MSA	"What kind of CDs are imported?
"	neutral
625	corpus-6-train	MSA	"I'll study the conversation in English.
"	neutral
627	corpus-6-train	MSA	"Have you read any good books lately?
"	positive
629	corpus-6-train	MSA	"I'm staying with a friend in New York.
"	neutral
631	corpus-6-test-corpus-26-train	MSA	"If anyone asks about me, tell them I'll be at the cafe.
"	neutral
632	corpus-6-test-corpus-26-train	MSA	"I'm sure I put it in the jacket pocket.
"	neutral
633	corpus-6-train	MSA	"Do you have a place I can leave my luggage?
"	neutral
634	corpus-6-train	MSA	"I came here on business.
"	neutral
636	corpus-6-train	MSA	"Do you know any good diving schools?
"	neutral
