,Sentence_id,sentence,Tokens,POS_Tags,Dialect
10,11,الاستاز : ليش حاسس حالك غبي الطالب : اشفقت عليك اضل واقف لحالك,"['الاستاز', ':', 'ليش', 'حاسس', 'حالك', 'غبي', 'الطالب', ':', 'اشفقت', 'عليك', 'اضل', 'واقف', 'لحالك']","['اسم', 'علامة+ترقيم', 'أداة+استفهام', 'صفة', 'اسم', 'صفة', 'اسم', 'علامة+ترقيم', 'فعل+ماضي', 'حرف+جر', 'فعل+مضارع', 'صفة', 'اسم']",Jordan
11,12,ههههههه,['ههههههه'],['اسم+فعل/جامد'],Saudi Arabia
12,13,وحده ضاعت شنطتها راحت تبلغ الشرطه قالولها ولا يهمك روحي البيت وحنا بنطلع الشنطة من تحت الارض وهي رايحه شافت بالشارع عمال البلديه يحفرون قالت لهم شدوا حيلكم ترى لون الشنطة بني,"['وحده', 'ضاعت', 'شنطتها', 'راحت', 'تبلغ', 'الشرطه', 'قالولها', 'ولا', 'يهمك', 'روحي', 'البيت', 'وحنا', 'بنطلع', 'الشنطة', 'من', 'تحت', 'الارض', 'وهي', 'رايحه', 'شافت', 'بالشارع', 'عمال', 'البلديه', 'يحفرون', 'قالت', 'لهم', 'شدوا', 'حيلكم', 'ترى', 'لون', 'الشنطة', 'بني']","['اسم+عدد', 'فعل+ماضي', 'اسم', 'فعل+ماضي', 'فعل+مضارع', 'اسم', 'فعل+ماضي', 'أداة+نفي', 'فعل+مضارع', 'فعل+أمر', 'اسم', 'ضمير', 'فعل+مضارع', 'اسم', 'حرف+جر', 'ظرف', 'اسم', 'ضمير', 'صفة', 'فعل+ماضي', 'اسم', 'اسم', 'اسم', 'فعل+مضارع', 'فعل+ماضي', 'حرف+جر', 'فعل+أمر', 'اسم', 'تعجب', 'اسم', 'اسم', 'اسم']",Qatar
13,14,ههههههههه,['ههههههههه'],['اسم+فعل/جامد'],Yemen
14,15,قال غبي لاغبى منه : لو عرفت ايش داخل الكيس اعطيك منه سمكه قال الاغبى منه : بحر,"['قال', 'غبي', 'لاغبى', 'منه', ':', 'لو', 'عرفت', 'ايش', 'داخل', 'الكيس', 'اعطيك', 'منه', 'سمكه', 'قال', 'الاغبى', 'منه', ':', 'بحر']","['فعل+ماضي', 'صفة', 'صفة', 'حرف+جر', 'علامة+ترقيم', 'أداة+ربط', 'فعل+ماضي', 'أداة+استفهام', 'اسم', 'اسم', 'فعل+مضارع', 'حرف+جر', 'اسم', 'فعل+ماضي', 'اسم', 'حرف+جر', 'علامة+ترقيم', 'اسم']",Yemen
15,16,ههههههه,['ههههههه'],['اسم+فعل/جامد'],Saudi Arabia
16,17,خدمة مين ياللي تنشك في بطنك,"['خدمة', 'مين', 'ياللي', 'تنشك', 'في', 'بطنك']","['اسم', 'ضمير+استفهام', 'اسم+موصول', 'فعل+مضارع+مجهول', 'حرف+جر', 'اسم']",Tunisia
17,18,البنت لما تروح على محل الكنادر بتخلي صاحب المحل يفرجيها كل انواع الكنادر,"['البنت', 'لما', 'تروح', 'على', 'محل', 'الكنادر', 'بتخلي', 'صاحب', 'المحل', 'يفرجيها', 'كل', 'انواع', 'الكنادر']","['اسم', 'أداة+ربط', 'فعل+مضارع', 'حرف+جر', 'اسم', 'اسم', 'فعل+مضارع', 'اسم', 'اسم', 'فعل+مضارع', 'اسم+كم', 'اسم', 'اسم']",Jordan
18,19,انا بحب افرقع هاد الكيس وانتوا,"['انا', 'بحب', 'افرقع', 'هاد', 'الكيس', 'وانتوا']","['ضمير', 'فعل+مضارع', 'فعل+مضارع', 'ضمير+اشارة', 'اسم', 'ضمير']",Jordan
19,20,هاد العزابي بتكاسل يكب لزبالة,"['هاد', 'العزابي', 'بتكاسل', 'يكب', 'لزبالة']","['ضمير+اشارة', 'صفة', 'فعل+مضارع', 'فعل+مضارع', 'اسم']",Syria
20,21,نحن شعب اذا كتبنا رساله نقول اسمع و اذا تكلمنا في التلفون نقول شوفحشيش باكستاني ههههههههههههههه,"['نحن', 'شعب', 'اذا', 'كتبنا', 'رساله', 'نقول', 'اسمع', 'و', 'اذا', 'تكلمنا', 'في', 'التلفون', 'نقول', 'nan', 'باكستاني', 'ههههههههههههههه']","['ضمير', 'اسم', 'أداة+ربط', 'فعل+ماضي', 'اسم', 'فعل+مضارع', 'فعل+أمر', 'عطف', 'أداة+ربط', 'فعل+ماضي', 'حرف+جر', 'اسم', 'فعل+مضارع', 'nan', 'صفة', 'اسم+فعل/جامد']",Libya
21,22,لما اعصب,"['لما', 'اعصب']","['أداة+ربط', 'فعل+مضارع']",Qatar
22,23,يطلع مني صوت انا نفسي,"['يطلع', 'مني', 'صوت', 'انا', 'نفسي']","['فعل+مضارع', 'حرف+جر', 'اسم', 'ضمير', 'اسم']",Saudi Arabia
23,24,بنصدم منه,"['بنصدم', 'منه']","['فعل+مضارع', 'حرف+جر']",Saudi Arabia
24,25,90 % من العرب الي معهم ايفون مستحيل يغيرو الرنة تبعت الجهاز,"['nan', '%', 'من', 'العرب', 'الي', 'معهم', 'ايفون', 'مستحيل', 'يغيرو', 'الرنة', 'تبعت', 'الجهاز']","['nan', 'علامة+ترقيم', 'حرف+جر', 'اسم', 'اسم+موصول', 'اسم', 'اسم+علم', 'صفة', 'فعل+مضارع', 'اسم', 'ضمير', 'اسم']",Libya
25,26,قال يعني معي ايفون اكشعيني يا بنت هههههههههههههههه,"['قال', 'يعني', 'معي', 'ايفون', 'اكشعيني', 'يا', 'بنت', 'nan']","['فعل+ماضي', 'فعل+مضارع', 'اسم', 'اسم+علم', 'فعل+أمر', 'أداة+نداء', 'اسم', 'nan']",Syria
26,27,90 % من العرب الي معهم ايفون مستحيل يغيرو الرنة تبعت الجهاز,"['nan', '%', 'من', 'العرب', 'الي', 'معهم', 'ايفون', 'مستحيل', 'يغيرو', 'الرنة', 'تبعت', 'الجهاز']","['nan', 'علامة+ترقيم', 'حرف+جر', 'اسم', 'اسم+موصول', 'اسم', 'اسم+علم', 'صفة', 'فعل+مضارع', 'اسم', 'ضمير', 'اسم']",Libya
27,28,قال يعني معي ايفون اكشعيني يا بنت هههههههههههههههه,"['قال', 'يعني', 'معي', 'ايفون', 'اكشعيني', 'يا', 'بنت', 'nan']","['فعل+ماضي', 'فعل+مضارع', 'اسم', 'اسم+علم', 'فعل+أمر', 'أداة+نداء', 'اسم', 'nan']",Syria
28,29,زهقان . . . . . طفشان . . . . عايف حالك,"['زهقان', '.', '.', '.', '.', '.', 'طفشان', '.', '.', '.', '.', 'عايف', 'حالك']","['صفة', 'علامة+ترقيم', 'علامة+ترقيم', 'علامة+ترقيم', 'علامة+ترقيم', 'علامة+ترقيم', 'صفة', 'علامة+ترقيم', 'علامة+ترقيم', 'علامة+ترقيم', 'علامة+ترقيم', 'صفة', 'اسم']",Syria
29,30,ملقاش الا صفحه يما بديش اتجوز,"['ملقاش', 'الا', 'صفحه', 'يما', 'بديش', 'اتجوز']","['فعل+ماضي', 'أداة+إستثناء', 'اسم', 'اسم', 'فعل+مضارع', 'فعل+مضارع']",Lebanon
30,31,ليس الوحيد لكنه الافضل,"['ليس', 'الوحيد', 'لكنه', 'الافضل']","['أداة+نفي', 'صفة', 'شبه+فعل', 'صفة+مقارنة']",Saudi Arabia
31,32,هل تعلم : مالك نادي موناكو ديميتري ريبولوفيف أهدى هدية لإبنته بمناسبة,"['هل', 'تعلم', ':', 'مالك', 'نادي', 'موناكو', 'ديميتري', 'ريبولوفيف', 'أهدى', 'هدية', 'لإبنته', 'بمناسبة']","['أداة+استفهام', 'فعل+مضارع', 'علامة+ترقيم', 'اسم', 'اسم', 'اسم+علم', 'اسم+علم', 'اسم+علم', 'فعل+ماضي', 'اسم', 'اسم', 'اسم']",Sudan
32,33,يوم ميلادها ال 22 وهي عبارة عن جزيرة يونانية بقيمة 117 مليون يورو !,"['يوم', 'ميلادها', 'ال', 'nan', 'وهي', 'عبارة', 'عن', 'جزيرة', 'يونانية', 'بقيمة', 'nan', 'مليون', 'يورو', '!']","['اسم', 'اسم', 'أداة+تعريف', 'nan', 'ضمير', 'اسم', 'حرف+جر', 'اسم', 'صفة', 'اسم', 'nan', 'اسم+عدد', 'اسم', 'علامة+ترقيم']",Oman
33,34,يا زم زي أهلي بالضبط بس اهلي جابولي مع هاي الجزيره صندوق,"['يا', 'زم', 'زي', 'أهلي', 'بالضبط', 'بس', 'اهلي', 'جابولي', 'مع', 'هاي', 'الجزيره', 'صندوق']","['أداة+نداء', 'اسم', 'اسم', 'اسم', 'اسم', 'عطف', 'اسم', 'فعل+ماضي', 'ظرف', 'ضمير+اشارة', 'اسم', 'اسم']",Libya
34,35,ببسي قزايز مشان أمزمز ببسي و انا بتشقلب عالشط,"['ببسي', 'قزايز', 'مشان', 'أمزمز', 'ببسي', 'و', 'انا', 'بتشقلب', 'عالشط']","['اسم', 'اسم', 'اسم', 'فعل+مضارع', 'اسم', 'عطف', 'ضمير', 'فعل+مضارع', 'اسم']",Syria
35,36,ههههههههههههههههههههههههههههههههههههههههههههههههههه,['ههههههههههههههههههههههههههههههههههههههههههههههههههه'],['اسم+فعل/جامد'],Palestine
36,37,محشش يقول :,"['محشش', 'يقول', ':']","['صفة', 'فعل+مضارع', 'علامة+ترقيم']",Yemen
37,38,كنا قاعدين بالصالون وقلت : عطشااان !,"['كنا', 'قاعدين', 'بالصالون', 'وقلت', ':', 'عطشااان', '!']","['فعل+ماضي', 'صفة', 'اسم', 'فعل+ماضي', 'علامة+ترقيم', 'اسم', 'علامة+ترقيم']",Syria
38,39,نط أخوي الصغير وجبلي مي !,"['نط', 'أخوي', 'الصغير', 'وجبلي', 'مي', '!']","['فعل+ماضي', 'اسم', 'صفة', 'فعل+ماضي', 'اسم', 'علامة+ترقيم']",Syria
39,40,استغربت وقلتله : ليه صاير محترم ?,"['استغربت', 'وقلتله', ':', 'ليه', 'صاير', 'محترم', '?']","['فعل+ماضي', 'فعل+ماضي', 'علامة+ترقيم', 'أداة+استفهام', 'اسم', 'صفة', 'علامة+ترقيم']",Jordan
40,41,قال : اخذنا اليوم درس في المدرسة .,"['قال', ':', 'اخذنا', 'اليوم', 'درس', 'في', 'المدرسة', '.']","['فعل+ماضي', 'علامة+ترقيم', 'فعل+ماضي', 'اسم', 'اسم', 'حرف+جر', 'اسم', 'علامة+ترقيم']",Qatar
41,42,واحد دخل الجنة . . لأنه شرب كلب .,"['واحد', 'دخل', 'الجنة', '.', '.', 'لأنه', 'شرب', 'كلب', '.']","['اسم+عدد', 'فعل+ماضي', 'اسم', 'علامة+ترقيم', 'علامة+ترقيم', 'أداة+ربط', 'فعل+ماضي', 'اسم', 'علامة+ترقيم']",Jordan
42,43,ههههههههه حرقو حرق ههههههه,"['ههههههههه', 'حرقو', 'حرق', 'ههههههه']","['اسم+فعل/جامد', 'فعل+ماضي', 'اسم', 'اسم+فعل/جامد']",Egypt
43,44,محشش دخل الصيدلية,"['محشش', 'دخل', 'الصيدلية']","['صفة', 'فعل+ماضي', 'اسم']",Saudi Arabia
44,45,قال للصيدلاني : عندك شريط بندول ? !,"['قال', 'للصيدلاني', ':', 'عندك', 'شريط', 'بندول', '?', '!']","['فعل+ماضي', 'اسم', 'علامة+ترقيم', 'ظرف', 'اسم', 'اسم', 'علامة+ترقيم', 'علامة+ترقيم']",Yemen
45,46,قال الصيدلاني : اي عندي,"['قال', 'الصيدلاني', ':', 'اي', 'عندي']","['فعل+ماضي', 'اسم', 'علامة+ترقيم', 'جواب', 'ظرف']",Iraq
46,47,قال المحشش : طب حطو خلينا نسمع,"['قال', 'المحشش', ':', 'طب', 'حطو', 'خلينا', 'نسمع']","['فعل+ماضي', 'اسم', 'علامة+ترقيم', 'أداة', 'فعل+أمر', 'فعل+أمر', 'فعل+مضارع']",Palestine
47,48,طبعاا الصيدلي صرلو اسبوع قاعد مع حالو بلعب بالمكعبات,"['طبعاا', 'الصيدلي', 'صرلو', 'اسبوع', 'قاعد', 'مع', 'حالو', 'بلعب', 'بالمكعبات']","['اسم', 'اسم', 'فعل+ماضي', 'اسم', 'صفة', 'ظرف', 'اسم', 'فعل+مضارع', 'اسم']",Syria
48,49,هههههههههههههه,['هههههههههههههه'],['اسم+فعل/جامد'],Yemen
49,50,جهاز ENGLISHTEXT تقدر تقلب الصفحات بحركة العين . .,"['جهاز', 'ENGLISHTEXT', 'تقدر', 'تقلب', 'الصفحات', 'بحركة', 'العين', '.', '.']","['اسم', 'ENGLISHTEXT', 'فعل+مضارع', 'فعل+مضارع', 'اسم', 'اسم', 'اسم', 'علامة+ترقيم', 'علامة+ترقيم']",Saudi Arabia
50,51,رد فعل الناس :,"['رد', 'فعل', 'الناس', ':']","['اسم', 'اسم', 'اسم', 'علامة+ترقيم']",Libya
51,52,الامريكى : وياترى كيف وصلوا للتقنية . . . هاي وكيف ممكن اعدلها ?,"['الامريكى', ':', 'وياترى', 'كيف', 'وصلوا', 'للتقنية', '.', '.', '.', 'هاي', 'وكيف', 'ممكن', 'اعدلها', '?']","['صفة', 'علامة+ترقيم', 'تعجب', 'أداة+استفهام', 'فعل+ماضي', 'اسم', 'علامة+ترقيم', 'علامة+ترقيم', 'علامة+ترقيم', 'ضمير+اشارة', 'أداة+استفهام', 'صفة', 'فعل+مضارع', 'علامة+ترقيم']",Iraq
52,53,الفرنسى : هل تناسب هذة التقنية تطلعاتنا ?,"['الفرنسى', ':', 'هل', 'تناسب', 'هذة', 'التقنية', 'تطلعاتنا', '?']","['اسم', 'علامة+ترقيم', 'أداة+استفهام', 'فعل+مضارع', 'ضمير+اشارة', 'اسم', 'اسم', 'علامة+ترقيم']",Modern Standard Arabic
53,54,العربي : طب لو واحد أحول كيف بدو يستخدمها ! ?,"['العربي', ':', 'طب', 'لو', 'واحد', 'أحول', 'كيف', 'بدو', 'يستخدمها', '!', '?']","['صفة', 'علامة+ترقيم', 'أداة', 'أداة+ربط', 'اسم+عدد', 'صفة', 'أداة+استفهام', 'فعل+مضارع', 'فعل+مضارع', 'علامة+ترقيم', 'علامة+ترقيم']",Palestine
54,55,شعب مش معقول بحسبها من جميع,"['شعب', 'مش', 'معقول', 'بحسبها', 'من', 'جميع']","['اسم', 'أداة+نفي', 'صفة', 'فعل+مضارع', 'حرف+جر', 'اسم+كم']",Saudi Arabia
55,56,النواحي هههههههههههههه,"['النواحي', 'هههههههههههههه']","['اسم', 'اسم+فعل/جامد']",Jordan
56,57,من علامات ذكاء الشعب الفرنسي,"['من', 'علامات', 'ذكاء', 'الشعب', 'الفرنسي']","['حرف+جر', 'اسم', 'اسم', 'اسم', 'صفة']",Saudi Arabia
57,58,يقلب المخده إذا كان الجو نااار,"['يقلب', 'المخده', 'إذا', 'كان', 'الجو', 'نااار']","['فعل+مضارع', 'اسم', 'أداة+ربط', 'فعل+ماضي', 'اسم', 'اسم']",Yemen
58,59,فيحصل على مخدة أبرد,"['فيحصل', 'على', 'مخدة', 'أبرد']","['فعل+مضارع', 'حرف+جر', 'اسم', 'صفة+مقارنة']",Modern Standard Arabic
59,60,ابرد من هيك شعب ما شفت ههههههههههههههه,"['ابرد', 'من', 'هيك', 'شعب', 'ما', 'شفت', 'ههههههههههههههه']","['صفة+مقارنة', 'حرف+جر', 'ضمير+اشارة', 'اسم', 'أداة+نفي', 'فعل+ماضي', 'اسم+فعل/جامد']",Syria
60,61,أنا حاسس انو بيوم عرسي,"['أنا', 'حاسس', 'انو', 'بيوم', 'عرسي']","['ضمير', 'صفة', 'أداة+ربط', 'اسم', 'اسم']",Jordan
61,62,أمي راح تقلي خد الزبالة معك وانت طالع,"['أمي', 'راح', 'تقلي', 'خد', 'الزبالة', 'معك', 'وانت', 'طالع']","['اسم', 'أداة+استقبال', 'فعل+مضارع', 'فعل+أمر', 'اسم', 'اسم', 'ضمير', 'صفة']",Jordan
62,63,ههههههههههههههههه,['ههههههههههههههههه'],['اسم+فعل/جامد'],Yemen
63,64,بتعملها الحجه,"['بتعملها', 'الحجه']","['فعل+مضارع', 'اسم']",Jordan
64,65,شب : ألوو ?,"['شب', ':', 'ألوو', '?']","['اسم', 'علامة+ترقيم', 'جواب', 'علامة+ترقيم']",Lebanon
65,66,البنت : هلا مين ?,"['البنت', ':', 'هلا', 'مين', '?']","['اسم', 'علامة+ترقيم', 'اسم', 'ضمير+استفهام', 'علامة+ترقيم']",Jordan
66,67,"الشب : بس سؤال واحد , , إذا عندك حبيب بسكر السماعة ! !","['الشب', ':', 'بس', 'سؤال', 'واحد', ',', ',', 'إذا', 'عندك', 'حبيب', 'بسكر', 'السماعة', '!', '!']","['اسم', 'علامة+ترقيم', 'ظرف', 'اسم', 'اسم+عدد', 'علامة+ترقيم', 'علامة+ترقيم', 'أداة+ربط', 'ظرف', 'صفة', 'فعل+مضارع', 'اسم', 'علامة+ترقيم', 'علامة+ترقيم']",Syria
67,68,"البنت : أه عندي , , بس مين ? ? !","['البنت', ':', 'أه', 'عندي', ',', ',', 'بس', 'مين', '?', '?', '!']","['اسم', 'علامة+ترقيم', 'جواب', 'ظرف', 'علامة+ترقيم', 'علامة+ترقيم', 'عطف', 'ضمير+استفهام', 'علامة+ترقيم', 'علامة+ترقيم', 'علامة+ترقيم']",Palestine
68,69,الشب : أنا أخوكي يا بنت الكلب استني لأرجع عالبيت ! !,"['الشب', ':', 'أنا', 'أخوكي', 'يا', 'بنت', 'الكلب', 'استني', 'لأرجع', 'عالبيت', '!', '!']","['اسم', 'علامة+ترقيم', 'ضمير', 'اسم', 'أداة+نداء', 'اسم', 'اسم', 'فعل+أمر', 'فعل+مضارع', 'اسم', 'علامة+ترقيم', 'علامة+ترقيم']",Lebanon
69,70,البنت قالت : رحنا فيها,"['البنت', 'قالت', ':', 'رحنا', 'nan']","['اسم', 'فعل+ماضي', 'علامة+ترقيم', 'فعل+ماضي', 'nan']",Jordan
70,71,مكالمة مجهولة بنفس اليوم : الشب : ألوو ?,"['مكالمة', 'مجهولة', 'بنفس', 'اليوم', ':', 'الشب', ':', 'ألوو', '?']","['اسم', 'صفة', 'اسم', 'اسم', 'علامة+ترقيم', 'اسم', 'علامة+ترقيم', 'جواب', 'علامة+ترقيم']",Jordan
71,72,البنت : هلا مين ?,"['البنت', ':', 'هلا', 'مين', '?']","['اسم', 'علامة+ترقيم', 'اسم', 'ضمير+استفهام', 'علامة+ترقيم']",Jordan
72,73,الشب : بس سؤال و إذا عندك حبيب بسكر السماعة ! !,"['الشب', ':', 'بس', 'سؤال', 'و', 'إذا', 'عندك', 'حبيب', 'بسكر', 'السماعة', '!', '!']","['اسم', 'علامة+ترقيم', 'ظرف', 'اسم', 'عطف', 'أداة+ربط', 'ظرف', 'صفة', 'فعل+مضارع', 'اسم', 'علامة+ترقيم', 'علامة+ترقيم']",Syria
73,74,"البنت : لأ ما عندي , , بس مين ?","['البنت', ':', 'لأ', 'ما', 'عندي', ',', ',', 'بس', 'مين', '?']","['اسم', 'علامة+ترقيم', 'أداة+نفي', 'أداة+نفي', 'ظرف', 'علامة+ترقيم', 'علامة+ترقيم', 'عطف', 'ضمير+استفهام', 'علامة+ترقيم']",Palestine
74,75,الشب : أنا حبيبك يا تافهة الله ياخدك نسيتي وبعتي الحب بهالسرعة ?,"['الشب', ':', 'أنا', 'حبيبك', 'يا', 'تافهة', 'الله', 'ياخدك', 'نسيتي', 'وبعتي', 'الحب', 'بهالسرعة', '?']","['اسم', 'علامة+ترقيم', 'ضمير', 'اسم', 'أداة+نداء', 'صفة', 'اسم+علم', 'فعل+مضارع', 'فعل+ماضي', 'فعل+ماضي', 'اسم', 'اسم', 'علامة+ترقيم']",Syria
75,76,البنت : أنا أسفة حبيبي فكرتك أخوي,"['البنت', ':', 'أنا', 'أسفة', 'حبيبي', 'فكرتك', 'أخوي']","['اسم', 'علامة+ترقيم', 'ضمير', 'صفة', 'اسم', 'فعل+ماضي', 'اسم']",Egypt
76,77,"الشب : أنا اخوكي بس حبيت اتاكد مشان ما اظلمك , , هيني ع الطريق أنا بورجيكي","['الشب', ':', 'أنا', 'اخوكي', 'بس', 'حبيت', 'اتاكد', 'مشان', 'ما', 'اظلمك', ',', ',', 'هيني', 'ع', 'الطريق', 'أنا', 'بورجيكي']","['اسم', 'علامة+ترقيم', 'ضمير', 'اسم', 'ظرف', 'فعل+ماضي', 'فعل+مضارع', 'اسم', 'أداة+نفي', 'فعل+مضارع', 'علامة+ترقيم', 'علامة+ترقيم', 'ضمير+اشارة', 'حرف+جر', 'اسم', 'ضمير', 'فعل+مضارع']",Syria
77,78,ههههههههههههههه تب,"['ههههههههههههههه', 'تب']","['اسم+فعل/جامد', 'أداة']",Libya
78,79,مره بنت قالة لأبوها :,"['مره', 'بنت', 'قالة', 'لأبوها', ':']","['اسم', 'اسم', 'فعل+ماضي', 'اسم', 'علامة+ترقيم']",Yemen
79,80,بابا كل ما امرق من الحارة في شله زعران بيقولولي ليموناضة,"['بابا', 'كل', 'ما', 'امرق', 'من', 'الحارة', 'في', 'شله', 'زعران', 'بيقولولي', 'ليموناضة']","['اسم', 'اسم+كم', 'اسم+موصول', 'فعل+مضارع', 'حرف+جر', 'اسم', 'حرف+جر', 'اسم', 'اسم', 'فعل+مضارع', 'اسم']",Libya
