Sentence_id,sentence,,,,,,,
64,بتعملها الحجه,,,,,,,
65,شب : ألوو ?,,,,,,,
66,البنت : هلا مين ?,,,,,,,
67,"الشب : بس سؤال واحد , , إذا عندك حبيب بسكر السماعة ! !",,,,,,,
68,"البنت : أه عندي , , بس مين ? ? !",,,,,,,
69,الشب : أنا أخوكي يا بنت الكلب استني لأرجع عالبيت ! !,,,,,,,
70,البنت قالت : رحنا فيها,,,,,,,
71,مكالمة مجهولة بنفس اليوم : الشب : ألوو ?,,,,,,,
72,البنت : هلا مين ?,,,,,,,
73,الشب : بس سؤال و إذا عندك حبيب بسكر السماعة ! !,,,,,,,
74,"البنت : لأ ما عندي , , بس مين ?",,,,,,,
75,الشب : أنا حبيبك يا تافهة الله ياخدك نسيتي وبعتي الحب بهالسرعة ?,,,,,,,
76,البنت : أنا أسفة حبيبي فكرتك أخوي,,,,,,,
77,"الشب : أنا اخوكي بس حبيت اتاكد مشان ما اظلمك , , هيني ع الطريق أنا بورجيكي",,,,,,,
78,ههههههههههههههه تب,,,,,,,
79,مره بنت قالة لأبوها :,,,,,,,
80,بابا كل ما امرق من الحارة في شله زعران بيقولولي ليموناضة,,,,,,,
81,راح لعندهم الاب وهددهم . .,,,,,,,
82,تاني يوم مرقت البنت هي و ابوها و الزعران كانوا موجودين وتذكروا التهديد و خافوا,,,,,,,
83,"قام قلا الاول : ماء",,,,,,,
84,التاني : سكر,,,,,,,
85,التالت : ليمون,,,,,,,
86,الاب : سترجي اخلطهم,,,,,,,
87,هههههههههههههههههههههه,,,,,,,
88,بسرعه تروح معنا ولا لا,,,,,,,
89,هاي الجملة تخلي الواحد,,,,,,,
90,يلبس البنطلون بالمقلوب,,,,,,,
91,هههههههههههههههههههههههههه,,,,,,,
92,الأسطورة تقول . . .,,,,,,,
93,إذا طلبت من الحجة شغلة وهي بتصلي ! !,,,,,,,
94,"وقالت : """" الله أكبر """"""""",,,,,,,
95,بتكون موافقه . . .,,,,,,,
96,"بس لو قالت : """" اللللللللللله أكبرررررررررررر """" . .""""""""",,,,,,,
96,"بس لو قالت : """" اللللللللللله أكبرررررررررررر """" . .""""",,,,,,,
97,و علت صوتها . .,,,,,,,
98,يعني لو زلمة إعملها ! !,,,,,,,
99,ههههههههههههههههههه,,,,,,,
100,"في بنت كاتبه : """" من طفولتي مدللة و أعشق الدلال """"""""",,,,,,,
101,وهي كانت حارس مرمى بالسطوح لولاد عمها,,,,,,,
102,وتقولهم : بدون شمط ! هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه,,,,,,,
103,إمها بتحكيلها مش فاضيه قاعده بطبخ,,,,,,,
104,تعالي,,,,,,,
105,غيري حفاضة عبود عاملها على حاله .,,,,,,,
106,بتصرخ وتقول كل شي أنا أنا,,,,,,,
107,بتدخل غرفتها وتسكر الباب,,,,,,,
108,وتقعد على الفيس وبتكتب,,,,,,,
109,لدي اميرة أنجبتني فيا رب وفقني لطاعتها وبرها,,,,,,,
110,طيب وحفاضة عبود,,,,,,,
111,. . . الولد سمط,,,,,,,
112,هههههههههههههههههههههههههه,,,,,,,
113,الايفون و الجالكسي والبلاك بيري : لو ترش عليهم,,,,,,,
114,نقطتين,,,,,,,
115,مي خربو,,,,,,,
116,أما أبو كشاف لو ترميه بالغسالة بيطلع و يقول لك :,,,,,,,
117,الشامبو و الليفه لو سمحت ههههههههههه,,,,,,,
118,وازا ما بدك عادي بعرف اسبح,,,,,,,
119,"ثلاثة زعران قاعدين بمزرعه كبست عليهم مكافحة المخدرات الاول طلع فوق عامود كهرباء والثاني نزل تحت سيارة",,,,,,,
120,والثالث تخبا تحت حمار,,,,,,,
121,مسكت المكافحه الاول و سألوه واين المخدرات ?,,,,,,,
122,"قالهم : انا موظف الكهرباء و بصلح بالعامود ENGLISHTEXT ENGLISHTEXT مسكوا الثاني سألوه واين المخدرات قلهم : انا ميكانيكي و بصلح بالسيارة ENGLISHTEXT ENGLISHTEXT مسكوا الثالث اللي تحت الحمار و سألوه وين المخدرات قالهم : : شو مخدرات وما مخدرات انا هسة انولدت",,,,,,,
124,اغلق هاتفه بعد مكآلمتهآ . .,,,,,,,
125,صرخ وقآل : . . اححححححححبهاااااااااا,,,,,,,
126,خرجت والدته من خلفه ثم قالت ; !,,,,,,,
127,من هي تلكك !,,,,,,,
128,قبل رأسها وقال انها تلك ;,,,,,,,
129,ENGLISHTEXT ام اولادي !,,,,,,,
130,و حبيبتي,,,,,,,
131,واختياري,,,,,,,
132,مسحت على رأسه وقالت : انت,,,,,,,
133,لهآ يا ولدي,,,,,,,
134,"للقراءة فقط",,,,,,,
135,للأطلاع فقط,,,,,,,
136,امه مو عربيه على فكرة,,,,,,,
137,لاتجربها عشان ماتجيك الزنوبة على غفله,,,,,,,
138,ههههههههههه,,,,,,,
139,البنت لما تشتري شوز جديد,,,,,,,
140,صاحباتها,,,,,,,
141,الأولى : بجنن رووووووعه,,,,,,,
142,التانية : ياااي شو حلو,,,,,,,
143,"الثالثه : طول عمري بحكي إنك زوء",,,,,,,
144,الشب لما يشتري شوز جديد,,,,,,,
145,أصحابه,,,,,,,
146,الأول : خدلك ! ! بشبه بوت أخوي الصغير,,,,,,,
147,إللي بضوي و بطفي,,,,,,,
148,الثاني : شكله من سوق الحرامية,,,,,,,
149,الثالث : إسمع . لا تمشي معي و إنت,,,,,,,
150,لابسه,,,,,,,
151,الرابع : جايب منظر وجهك,,,,,,,
152,الخامس : مبر 9 و 9 و 9 ك وجهك الجديد,,,,,,,
153,جلس الزوجان على الأريكة,,,,,,,
154,فسألها ; بماذا تفكرين ! ?,,,,,,,
155,أجابته برومانسية ; نفس اللي بتفكر فيه,,,,,,,
156,ف شمطها كف,,,,,,,
157,وقال لها ; بدك تتزوجي علي يا حيوانة,,,,,,,
158,ههههههههههههههههههههههههههههه,,,,,,,
159,إذا ركبت قطار الموت . .,,,,,,,
160,خذ معاك براغي و اول ما يطلع القطار فوق . .,,,,,,,
161,احكي للي قاعد قدامك و قوله هذول وقعو من كرسيك,,,,,,,
162,مازال العربي إذا شم ريحه غريبه في السيارة ;,,,,,,,
163,يوطي صوت المسجل مشان يشم منيح . . ! !,,,,,,,
164,إنا لله وإنا إليه راجعون,,,,,,,
165,هههههههههههههههههههههه,,,,,,,
166,امي أزا بدها تناديني ما بتناديني بإسمي,,,,,,,
167,"بتناديني حسب اخر """" فضيحة """" سويتها""""",,,,,,,
168,ههههههههههه,,,,,,,
169,ليش لمآآ آحكي لحد زي وجهك,,,,,,,
170,بيفهمهآ مسبه وبيزعل,,,,,,,
171,يعني لهدرجة وجهك مآ بيساعد,,,,,,,
172,فاقد الأمل,,,,,,,
173,هههههههههههههههههههههه ه,,,,,,,
174,عزيزي مخترع الواتس أب,,,,,,,
175,يعني كآن في ساعتين للدراسة باليوم,,,,,,,
176,اجيت انت لعنت امهم,,,,,,,
177,تبا لك ههههههههههههه,,,,,,,
178,شب بحكي لحبيبتو,,,,,,,
179,جبتلك هديه بتبدأ بحرف الواو,,,,,,,
180,"حكت حبيبتو : يا سلاااااااااااام هديه ! أصبر خليني أفكر , اممم وردة ?",,,,,,,
181,قال : لا,,,,,,,
182,قالت : وجبة من بيتزا هت,,,,,,,
183,قال : لا !,,,,,,,
184,قالت : وصلة ل تلفوني ?,,,,,,,
185,قال : لآ,,,,,,,
186,قالت : ممممم مآ عرفتها,,,,,,,
187,قال : ولآ اشي,,,,,,,
188,مرة واحد راح على جنينة الحيوانات شاف الاسد و فوت راسو بقفصه اجا قلو الحارس هيي شو بتساوي اجا قلو الزلمة ولله منا ماكله,,,,,,,
189,لحام حامل كيس فيه عضام,,,,,,,
190,شافو واحد راح قلو : شو الاخ عازم كلاب الحارة,,,,,,,
191,قلو اللحام : ليش الكرت ما وصلك . . . ? ? ?,,,,,,,
192,ههههههههههههههههههههههههههههههههههههههههههه قويه,,,,,,,
193,قمة النذااااااااااااااله,,,,,,,
194,محشش رن على بنت وقال لها عادي,,,,,,,
195,نطلع مع بعض ?,,,,,,,
196,البنت : ايش,,,,,,,
197,المحشش : شكلك انتي ما فهمتي آنا,,,,,,,
198,ايش قلت ?,,,,,,,
199,البنت : اكيد فهمت,,,,,,,
200,المحشش : طيب انا ايش قلت ! ! وحط ع,,,,,,,
201,السبيكر قدام اصحابه,,,,,,,
202,البنت : عآدي نطلع مع بعض,,,,,,,
203,المحشش : وآلله مشغول اليوم ما,,,,,,,
204,بقدر,,,,,,,
205,وجدت الام احمر الشفاة مكسور,,,,,,,
206,فغضبت,,,,,,,
207,وضربت ابنتها الصغيرة لأن يدها ملطخة به,,,,,,,
208,ثم خرجت لتجد انها رسمت قلبا على الباب,,,,,,,
209,و كتب بجانبه احبك ماما,,,,,,,
210,فرجعت لها مرة اخرى وضربتها,,,,,,,
211,لأنها كتبت عالباب,,,,,,,
213,محشش حب يغازل حبيبته,,,,,,,
214,حكالها ;,,,,,,,
215,بتعرفي نفسي ادعس على وجهك,,,,,,,
216,قالتله : شوووووووو,,,,,,,
217,قلها : عشان اكون اول عربي بدعس على سطح القمر,,,,,,,
218,يا حيوان مش هيك الرومانسية,,,,,,,
219,ههههههههههههههههههه,,,,,,,
220,دايما الاغنيه الحلوه بتيجي وانا نازل من السياره,,,,,,,
221,البنت,,,,,,,
222,اذا اجت تسكر باب السيارة,,,,,,,
223,عندها حالتين :,,,,,,,
224,يا بتسكره ع الخفيف,,,,,,,
225,"لدرجة انه ما بسكر ,",,,,,,,
226,أو بتعطيك هديك الخبطة,,,,,,,
227,الي بعدها ببطل الباب ينفتح من قوتها,,,,,,,
228,مافي ححل وسط,,,,,,,
229,شاب اسباني يهدي حبيبته,,,,,,,
230,سياره وقصر في مدينة مدريد,,,,,,,
231,وعندما سألته لماذا كل هذا,,,,,,,
232,قال : أنتي لي وكل ما أملك هو لك,,,,,,,
233,وعنا بالعالم العربي,,,,,,,
234,بيعطيها دب لعبه . . واول ما يتطاوشوا,,,,,,,
235,بيحكيلها,,,,,,,
236,أعطييييني غرااااضي,,,,,,,
238,قال أحدهم لصديقه بعد ان هجرته حبيبته :,,,,,,,
239,هون عليك سوف تنساها غدا,,,,,,,
240,فأجابه :,,,,,,,
241,كيف انساها و انا مشتري لها ( آي فون ) بالتقسيط لمدة سنه ;,,,,,,,
242,مؤلمة لحد الموت,,,,,,,
243,انت بتحبني,,,,,,,
244,قلها لأ,,,,,,,
245,. قالتلو طيب بتعزني,,,,,,,
246,قلها لأ,,,,,,,
247,البنت صارت تبكي راح الشب قلها طيب انتيي ما سألتيني بتعشقني,,,,,,,
248,مسحت دموعها وقالتلو طيب بتعشقني,,,,,,,
249,. قال لها كمان لا,,,,,,,
250,قمة التناقض :,,,,,,,
251,في توم وجيري طول الوقت من غير ملابس,,,,,,,
252,ولما يروحو ع المسبح يلبسو شورت,,,,,,,
253,اليوم اجا عندي أبن جيرانا الصغير,,,,,,,
254,بحكيلي : أختي بتحكي عنك حلو,,,,,,,
256,فضحها للمسكينه,,,,,,,
257,قمة المسخرة :,,,,,,,
258,تمسك موبايل ولد صغير ويحكيلك بليزز لا تدخل ع الصور,,,,,,,
259,لا يا شيخ !,,,,,,,
260,لا يكون عندك صور سبونج بوب وهو مشلح ?,,,,,,,
261,سألو محشش . . . كيف تفرق بين الذبابه الذكر والانثى,,,,,,,
262,قال إلي ملزقه بالمرايه الانثى,,,,,,,
263,وإلي بلف عند الاكل ذكر,,,,,,,
264,اقنعني اخوو الشلن,,,,,,,
267,خذلك هاي النصابة شو لقيتها كاتبة,,,,,,,
268,أنا بحب ENGLISHTEXT أمي ENGLISHTEXT لدرجة إني باخد,,,,,,,
269,كل الفلوس اللي في,,,,,,,
270,شنطتها,,,,,,,
271,عشان الشنطة ماتكونش تقيلة عليها,,,,,,,
272,و تئدر تحملها و ما تتعب,,,,,,,
273,الله يرضى علي ما احسني,,,,,,,
274,كيف تكونين ام صالحة ?,,,,,,,
275,سمي بنتك الكبيرة صالحة,,,,,,,
276,أكتر من هيك ما بقدر أخدمكم,,,,,,,
277,محشش سألوه ما هو تعليقك بأن نهاية العالم في 2012 ? قال : كله كلام فاضي عندي علبة تونة بتنتهي في 2015,,,,,,,
279,مرة واحد شرب مشروب غازي,,,,,,,
280,غازي مات من العطش هههههههههه,,,,,,,
281,الطالب العربي,,,,,,,
282,"بكل الدروس يقعد يرسم , إلا في درس الفن يقعد يحكي",,,,,,,
283,ليش اللي قاعد جنبك لما يقولك شو اخبارك لازم يلسعك كف حامي ع فخذك ?,,,,,,,
284,شو علاقة الاخبار بالفخذة اصلا,,,,,,,
286,خلوه نايم,,,,,,,
287,", ألعبارة ألتي تشرح صدري",,,,,,,
288,وترسم إبتسأمتي,,,,,,,
289,وتجعلني أبكي من السعاآآدةة,,,,,,,
290,وبطير النوم من عيوني,,,,,,,
291,مع كل كذبة تسقط 5 شعرات من رأس الإنسان,,,,,,,
292,عشان هيك 90 % من الشباب مصلعين,,,,,,,
293,كنت قاعد مع اوباما,,,,,,,
294,سألني : انت عربي ?,,,,,,,
295,حكيتلو : لا انا رياضيات خخخخخخ,,,,,,,
296,من يومها ارتفع سعر البترول,,,,,,,
297,طلع ما بتحمل مزح ابو سمره,,,,,,,
298,يا جماعه انا ابوي اكل راسي بالشمعه كان يدرس عليها وفتح القدس هوي وصلاح الايوبي فيها ماشي ماشي انا مسدق,,,,,,,
299,بس امي تصرخ علي وتحكي وانا قدك كنت اطبخ ع شمعه,,,,,,,
300,لا كثير هيك,,,,,,,
301,وقفولي الكرة الارضيه بدي انزل,,,,,,,
302,يحرق عرظ ه الشمعه,,,,,,,
303,ههههههههههههههههه,,,,,,,
304,اللي بطلع ملابسه من الخزانة,,,,,,,
305,بدون مايخرب الباقي .,,,,,,,
306,- الطريقة لو سمحت,,,,,,,
307,يرحم أمك كيف قبل لاانطرد من البيت,,,,,,,
309,تخيلوا لو احنى صينين,,,,,,,
310,. . تمزح مع أخوك وتشمطه كف,,,,,,,
311,بالأخير يطلع أبوك,,,,,,,
312,"محشش مات ابوه , وكان بالغزآ ببكي",,,,,,,
313,"فجأة رن تلفونه , صآر يبكي أكثر",,,,,,,
314,"سألوه الناس : مالك , شو فيه ? !",,,,,,,
315,"قلهم : أختي اتصلت , أبوها كمان مات",,,,,,,
316,ما بحب أمدح حالي . . . بس ! ! !,,,,,,,
317,كل ما أدخل على المول . .,,,,,,,
318,الباب بفتح لحالو,,,,,,,
319,سالها كاظم الساهر : هل عندك شك,,,,,,,
320,قالتله : لا والله انا بدفع كاش,,,,,,,
321,ومن يومها كاظم الساهر صار يغني راااب ! ! !,,,,,,,
322,تحيه لكل بنت بتغني انا شب وعم أسس حالي,,,,,,,
323,ههههههههه,,,,,,,
324,كفك يا مسطله,,,,,,,
325,مابقهرني الا الأستاذ الي يقول :,,,,,,,
326,روح للادارة وقلهم إنو أنا مشاغب وبحكي في الحصه,,,,,,,
327,وبضحك,,,,,,,
328,والله لو أني مأخذ اقوى نوع حشيش ما بروح اعلم,,,,,,,
329,على حالي,,,,,,,
331,احلا شي لما تزعل البنت منك,,,,,,,
332,"بتعملك بلوك بتسكر موبايلها , , بتختفي من الجامعة .",,,,,,,
333,وبالاخر بتحكي لصاحباتها الحئيييير ما صالحني,,,,,,,
334,هههههههههههههههههههههههههه,,,,,,,
335,. . . تبآ لكي يعني اجيلك بالحلم اصالحك,,,,,,,
337,مرة عربي و اميركي و فرنسي,,,,,,,
338,كانو بطيارة,,,,,,,
339,الأميركي نزل رجله من الطيارة و قال : احنا فوق اميركا,,,,,,,
340,سألوه : كيف عرفت,,,,,,,
341,قال : اجري خبطت بتمثال الحرية,,,,,,,
342,الفرنسي نزل رجله من الطيارة و قال : احنا فوق فرنسا,,,,,,,
343,سألوه كيف عرفت ? ?,,,,,,,
344,قال : اجري خبطت ببرج ايفل,,,,,,,
345,العربي نزل اجره من الطيارة وو قال : احنا فوق الوطن العربي,,,,,,,
346,سألوه : كيف عرفت ? ?,,,,,,,
347,قال : كندرتي انسرقت,,,,,,,
348,الفرق بين الأجنبي والعربي لما يتزحلق صاحبه,,,,,,,
349,الاجنبي : أوووووه,,,,,,,
350,"يا إلهي , هل تريد الذهاب للمستشفى لنتطمن على صحتك",,,,,,,
351,العربي :,,,,,,,
352,ههههههههههههههههه,,,,,,,
353,هههههههههههههههههههههههههههههه .,,,,,,,
354,وبعد . . . سااعة,,,,,,,
355,ههههههههههههههههههه,,,,,,,
358,يتذكر,,,,,,,
362,بعد أسبوع . . . يقلد الوقعه,,,,,,,
364,بعد شهرين . . . شباب تتذكرو,,,,,,,
365,ههههههههههههههه,,,,,,,
366,هههههههههههههههههههههههههه,,,,,,,
367,بعد سنه . . . . تتذكر هالمكان,,,,,,,
369,عنجد ليش احنا هيك ?,,,,,,,
370,الوالد بيقعد يبهدلني,,,,,,,
371,انا مخلف بني آدم والا حمار ?,,,,,,,
372,انا بسكت,,,,,,,
373,بقلي جاوبني بني آدم والا حمار ?,,,,,,,
374,بقلوا بني آدم,,,,,,,
375,بيحكيلي لأ حمار,,,,,,,
376,طيب يا رجل مدامك بتعرف,,,,,,,
377,ليش بتسألني ?,,,,,,,
378,ولد رجع متأخر ع البيت,,,,,,,
379,سأله ابوه ليش اتأخرت لهالوقت ?,,,,,,,
380,الولد : واحد وقع منه خمسين دينار,,,,,,,
381,الاب : اكيد كنت بتدور معاه عليها ?,,,,,,,
382,الابن : لا كنت داعس عليها ومستنيه ليروح,,,,,,,
383,هاد الناقص,,,,,,,
384,وهاد الزائد,,,,,,,
385,تعالو بكره وبعلمكم الضرب والقسمه,,,,,,,
386,طيب طيب خلص ما حدا يدفش بطلع لحالي,,,,,,,
387,هيني مسكر ايدي دقو عليها,,,,,,,
388,دق دق دق,,,,,,,
389,طلع مقص,,,,,,,
390,قص منخآرك,,,,,,,
391,رجع المقص وطول ورده,,,,,,,
392,شم الورده,,,,,,,
393,كذآب كيف شميتهآ وآنت قآصص منخآرك ? ?,,,,,,,
394,محشش قطع رأس أخوه وهو نايم,,,,,,,
395,وقعد يضحك ويقول :,,,,,,,
396,راح ينجن لما يصحى وما يلاقي رأسه,,,,,,,
397,"ألغاااز للاذكياء :",,,,,,,
398,طيب والبنزين لمين,,,,,,,
399,ههههههههههههههههه,,,,,,,
400,طيب خلينا نغير الموضوع,,,,,,,
401,إنتوا بتحكوا شامبو ولا شانبو,,,,,,,
402,ههههههههههههه,,,,,,,
403,"أموت وأعرف من وين بجيبو المخدآت اللي بالأفلام , تخبط واحد فيها بطير الريش و بتناثر ,",,,,,,,
404,"أنا مخدتي اذا ضربت واحد فيها , بفقد الذآكره ثلآث أيام",,,,,,,
405,تعريف التوقيع عند العرب,,,,,,,
406,حط اول حرف من اسمك و بعدها ارفع الهاند بريك,,,,,,,
407,و خمس يا معلم,,,,,,,
408,قال الحكيم اليونآني ارغمنيسآرنطوس,,,,,,,
409,"تعلمو قرآءة آسمي أولآ , قبل ان تتعلمو حكمي",,,,,,,
410,يلا ما قرأ اسمو منيح يشمط لايك,,,,,,,
411,شحادة بتشحد من محشش,,,,,,,
412,بتحكيله : الله يخليك بدي اشي يفرح اولادي,,,,,,,
413,رد عليها :,,,,,,,
414,عطليهم عن المدرسه,,,,,,,
415,ههههههههههههههههه,,,,,,,
416,تكون ناصحة ووزنها 97 كيلو,,,,,,,
417,ولما ترجع من العرس بتحكيلك :,,,,,,,
418,شفتي يا ماما كيف الكل كانوا يتطلعو علي وأنا برقص,,,,,,,
419,طبعا يا حياتي,,,,,,,
420,مستغربين من الهمر اللي كانت تخمس بالقاع,,,,,,,
421,قانون الحلفان عنا,,,,,,,
422,اذا ابتسمت وانت تحلف ! ! يعني انت كذاب,,,,,,,
423,مايقهرني,,,,,,,
424,إلا اللي عندهه نوكيا ابو كشاف وحاط رمز قفل,,,,,,,
425,على ايش رمز القفل,,,,,,,
426,خايف على الثعبان يطلع و يقرصك,,,,,,,
427,بدك تعذب عربي,,,,,,,
428,"احكيلو قصة بدون ذكر اسماء",,,,,,,
429,مستعد يقتل حاله علشان يعرف,,,,,,,
430,مين,,,,,,,
431,امااانة قووولي مييين,,,,,,,
432,طب انا بعرفه,,,,,,,
433,طب هو من قرايبنا,,,,,,,
434,طب من الحارة,,,,,,,
435,طب من العالم,,,,,,,
436,طب من نفس الكوكب,,,,,,,
437,طب من المجموعة الشمسية,,,,,,,
438,طب من نفس المجرة,,,,,,,
439,ههههههههه هههههههه,,,,,,,
440,وقتها تقدر توخذ منه الي بدك اياه,,,,,,,
441,مجربة ومضمونة,,,,,,,
442,ههههههههههههه,,,,,,,
443,"في ثلاثة راحوا السينما . . . . واحد أعمى وواحد اطرم وواحد أحول . . . . . الاعمى يقول : انا سمعت الفلم كله لكن ما شفت منه شيء الاطرم يقول : انا شفت الفلم كله لكن ما سمعت منها شيء الأحول يقول : انا احسن منكم شفته مرتين",,,,,,,
445,شو عكس فوتوشوب ?,,,,,,,
448,اصلا هي بضحك . . . بس انتو نفسيات,,,,,,,
449,يأخي أحلى شعور طفل يمسك اصبعك بكامل يده,,,,,,,
450,بتحس انك ديناصور حنون,,,,,,,
452,كثر وجوه بريئة في العالم . .,,,,,,,
453,أشكال اصحابي قدام اهلي,,,,,,,
454,عزيزي الممثل بالنسبه انو لما تنصاب بأيدك ليش بتعرج ?,,,,,,,
455,قالت له : شو اسمك ?,,,,,,,
456,قال لها : كريم,,,,,,,
457,قالت له : كريم و لا فازلين ?,,,,,,,
458,فضحك و سلخها بلوك و ضحكت وو ضحكت انت و ضحكت أنا و عاش الججميع بسعادة,,,,,,,
459,عزيزتي نجوى كرم,,,,,,,
460,بالنسبه للمقطع : خليني شمك مرة و بعدها روح بغيبوبة,,,,,,,
461,حبيبك جوز جرابات مثلا,,,,,,,
462,محشش بوكل زيت وزعتر,,,,,,,
463,قاله صاحبه,,,,,,,
464,قول بسم الله قبل الآكل .,,,,,,,
465,رد عليه : ليش ? ?,,,,,,,
466,قاله عشان ما ياكل معك الشيطان .,,,,,,,
467,قاله : هلآ الشيطان ترك الناس . .,,,,,,,
468,إلي في ماكدونالز و هارديز وكنتاكي وجاي ياكل زيت وزعتر,,,,,,,
469,بالعربي : اترك,,,,,,,
470,@@Lاط@@Iن @@Lاط@@عنغلِسه : @@Lاط@@Leَثe,,,,,,,
471,دشر ! !,,,,,,,
472,من اي قآمووس اتيتمم بهآآ,,,,,,,
473,دكتور سأل محشش : أمك حيه ?,,,,,,,
474,"قال : لا , عقرب !",,,,,,,
475,قال الدكتور : أقصد عايشة ?,,,,,,,
476,"قال : لا , مريم !",,,,,,,
477,المهم هسا الدكتور يرقص بقناة غنوه,,,,,,,
